+-----+--------------------------------------------+-----------------------------------------+-------+-----------+----------+----------+
|  ID | Registry name                              | Biome name                              | Temp. | Temp Cat. | RainType | Downfall |
+-----+--------------------------------------------+-----------------------------------------+-------+-----------+----------+----------+
|   0 | minecraft:ocean                            | Ocean                                   |  0.50 | OCEAN     |     rain |     0.50 |
|   1 | minecraft:plains                           | Plains                                  |  0.80 | MEDIUM    |     rain |     0.40 |
|   2 | minecraft:desert                           | Desert                                  |  2.00 | WARM      |        - |     0.00 |
|   3 | minecraft:mountains                        | Mountains                               |  0.20 | MEDIUM    |     rain |     0.30 |
|   4 | minecraft:forest                           | Forest                                  |  0.70 | MEDIUM    |     rain |     0.80 |
|   5 | minecraft:taiga                            | Taiga                                   |  0.25 | MEDIUM    |     rain |     0.80 |
|   6 | minecraft:swamp                            | Swamp                                   |  0.80 | MEDIUM    |     rain |     0.90 |
|   7 | minecraft:river                            | River                                   |  0.50 | MEDIUM    |     rain |     0.50 |
|   8 | minecraft:nether                           | Nether                                  |  2.00 | WARM      |        - |     0.00 |
|   9 | minecraft:the_end                          | The End                                 |  0.50 | MEDIUM    |        - |     0.50 |
|  10 | minecraft:frozen_ocean                     | Frozen Ocean                            |  0.00 | OCEAN     |     snow |     0.50 |
|  11 | minecraft:frozen_river                     | Frozen River                            |  0.00 | COLD      |     snow |     0.50 |
|  12 | minecraft:snowy_tundra                     | Snowy Tundra                            |  0.00 | COLD      |     snow |     0.50 |
|  13 | minecraft:snowy_mountains                  | Snowy Mountains                         |  0.00 | COLD      |     snow |     0.50 |
|  14 | minecraft:mushroom_fields                  | Mushroom Fields                         |  0.90 | MEDIUM    |     rain |     1.00 |
|  15 | minecraft:mushroom_field_shore             | Mushroom Field Shore                    |  0.90 | MEDIUM    |     rain |     1.00 |
|  16 | minecraft:beach                            | Beach                                   |  0.80 | MEDIUM    |     rain |     0.40 |
|  17 | minecraft:desert_hills                     | Desert Hills                            |  2.00 | WARM      |        - |     0.00 |
|  18 | minecraft:wooded_hills                     | Wooded Hills                            |  0.70 | MEDIUM    |     rain |     0.80 |
|  19 | minecraft:taiga_hills                      | Taiga Hills                             |  0.25 | MEDIUM    |     rain |     0.80 |
|  20 | minecraft:mountain_edge                    | Mountain Edge                           |  0.20 | MEDIUM    |     rain |     0.30 |
|  21 | minecraft:jungle                           | Jungle                                  |  0.95 | MEDIUM    |     rain |     0.90 |
|  22 | minecraft:jungle_hills                     | Jungle Hills                            |  0.95 | MEDIUM    |     rain |     0.90 |
|  23 | minecraft:jungle_edge                      | Jungle Edge                             |  0.95 | MEDIUM    |     rain |     0.80 |
|  24 | minecraft:deep_ocean                       | Deep Ocean                              |  0.50 | OCEAN     |     rain |     0.50 |
|  25 | minecraft:stone_shore                      | Stone Shore                             |  0.20 | MEDIUM    |     rain |     0.30 |
|  26 | minecraft:snowy_beach                      | Snowy Beach                             |  0.05 | COLD      |     snow |     0.30 |
|  27 | minecraft:birch_forest                     | Birch Forest                            |  0.60 | MEDIUM    |     rain |     0.60 |
|  28 | minecraft:birch_forest_hills               | Birch Forest Hills                      |  0.60 | MEDIUM    |     rain |     0.60 |
|  29 | minecraft:dark_forest                      | Dark Forest                             |  0.70 | MEDIUM    |     rain |     0.80 |
|  30 | minecraft:snowy_taiga                      | Snowy Taiga                             | -0.50 | COLD      |     snow |     0.40 |
|  31 | minecraft:snowy_taiga_hills                | Snowy Taiga Hills                       | -0.50 | COLD      |     snow |     0.40 |
|  32 | minecraft:giant_tree_taiga                 | Giant Tree Taiga                        |  0.30 | MEDIUM    |     rain |     0.80 |
|  33 | minecraft:giant_tree_taiga_hills           | Giant Tree Taiga Hills                  |  0.30 | MEDIUM    |     rain |     0.80 |
|  34 | minecraft:wooded_mountains                 | Wooded Mountains                        |  0.20 | MEDIUM    |     rain |     0.30 |
|  35 | minecraft:savanna                          | Savanna                                 |  1.20 | WARM      |        - |     0.00 |
|  36 | minecraft:savanna_plateau                  | Savanna Plateau                         |  1.00 | WARM      |        - |     0.00 |
|  37 | minecraft:badlands                         | Badlands                                |  2.00 | WARM      |        - |     0.00 |
|  38 | minecraft:wooded_badlands_plateau          | Wooded Badlands Plateau                 |  2.00 | WARM      |        - |     0.00 |
|  39 | minecraft:badlands_plateau                 | Badlands Plateau                        |  2.00 | WARM      |        - |     0.00 |
|  40 | minecraft:small_end_islands                | Small End Islands                       |  0.50 | MEDIUM    |        - |     0.50 |
