+-----+--------------------------------------------+-----------------------------------------+-------------------------+
|  ID | Registry name                              | Biome name                              | waterColorMultiplier    |
+-----+--------------------------------------------+-----------------------------------------+-------------------------+
|   0 | minecraft:ocean                            | Ocean                                   | 0x003F76E4 (   4159204) |
|   1 | minecraft:plains                           | Plains                                  | 0x003F76E4 (   4159204) |
|   2 | minecraft:desert                           | Desert                                  | 0x003F76E4 (   4159204) |
|   3 | minecraft:mountains                        | Mountains                               | 0x003F76E4 (   4159204) |
|   4 | minecraft:forest                           | Forest                                  | 0x003F76E4 (   4159204) |
|   5 | minecraft:taiga                            | Taiga                                   | 0x003F76E4 (   4159204) |
|   6 | minecraft:swamp                            | Swamp                                   | 0x00617B64 (   6388580) |
|   7 | minecraft:river                            | River                                   | 0x003F76E4 (   4159204) |
|   8 | minecraft:nether                           | Nether                                  | 0x003F76E4 (   4159204) |
|   9 | minecraft:the_end                          | The End                                 | 0x003F76E4 (   4159204) |
|  10 | minecraft:frozen_ocean                     | Frozen Ocean                            | 0x003938C9 (   3750089) |
|  11 | minecraft:frozen_river                     | Frozen River                            | 0x003938C9 (   3750089) |
|  12 | minecraft:snowy_tundra                     | Snowy Tundra                            | 0x003F76E4 (   4159204) |
|  13 | minecraft:snowy_mountains                  | Snowy Mountains                         | 0x003F76E4 (   4159204) |
|  14 | minecraft:mushroom_fields                  | Mushroom Fields                         | 0x003F76E4 (   4159204) |
|  15 | minecraft:mushroom_field_shore             | Mushroom Field Shore                    | 0x003F76E4 (   4159204) |
|  16 | minecraft:beach                            | Beach                                   | 0x003F76E4 (   4159204) |
|  17 | minecraft:desert_hills                     | Desert Hills                            | 0x003F76E4 (   4159204) |
|  18 | minecraft:wooded_hills                     | Wooded Hills                            | 0x003F76E4 (   4159204) |
|  19 | minecraft:taiga_hills                      | Taiga Hills                             | 0x003F76E4 (   4159204) |
|  20 | minecraft:mountain_edge                    | Mountain Edge                           | 0x003F76E4 (   4159204) |
|  21 | minecraft:jungle                           | Jungle                                  | 0x003F76E4 (   4159204) |
|  22 | minecraft:jungle_hills                     | Jungle Hills                            | 0x003F76E4 (   4159204) |
