+-----+--------------------------------------------+-----------------------------------------+------------+----------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  ID | Registry name                              | Biome name                              | BiomeType  | BiomeDictionary.Type                                           | Spawns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
+-----+--------------------------------------------+-----------------------------------------+------------+----------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   0 | minecraft:ocean                            | Ocean                                   |            | OCEAN, OVERWORLD, WATER                                        | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:drowned [weight: 5, min: 1, max: 1] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { betteranimalsplus:bobbit_worm [weight: 2, min: 1, max: 1] }; { betteranimalsplus:eel_saltwater [weight: 4, min: 1, max: 2] }; { betteranimalsplus:jellyfish [weight: 10, min: 1, max: 1] }; { betteranimalsplus:nautilus [weight: 4, min: 1, max: 1] }; { betteranimalsplus:shark [weight: 4, min: 1, max: 1] }; { betteranimalsplus:whale [weight: 2, min: 1, max: 3] }; { minecraft:cod [weight: 10, min: 3, max: 6] }; { minecraft:dolphin [weight: 1, min: 1, max: 2] }; { minecraft:squid [weight: 1, min: 1, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   1 | minecraft:plains                           | Plains                                  | COOL, WARM | OVERWORLD, PLAINS                                              | { explorercraft:skeletaur [weight: 70, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 3] }; { minecraft:horse [weight: 5, min: 2, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mubble:duck [weight: 10, min: 4, max: 4] }; { mubble:toad [weight: 10, min: 4, max: 4] }; { nuggets_dungeons_ii:bull [weight: 20, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|   2 | minecraft:desert                           | Desert                                  |            | DRY, HOT, OVERWORLD, SANDY                                     | { betteranimalsplus:tarantula [weight: 40, min: 1, max: 3] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:husk [weight: 80, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 19, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 1, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:coyote [weight: 5, min: 1, max: 6] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|   3 | minecraft:mountains                        | Mountains                               | COOL, WARM | HILLS, MOUNTAIN, OVERWORLD                                     | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:lammergeier [weight: 7, min: 1, max: 2] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:llama [weight: 5, min: 4, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   4 | minecraft:forest                           | Forest                                  | COOL, WARM | FOREST, OVERWORLD                                              | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { mubble:duck [weight: 10, min: 4, max: 4] }; { betteranimalsplus:butterfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                        |
|   5 | minecraft:taiga                            | Taiga                                   | COOL       | COLD, CONIFEROUS, FOREST, OVERWORLD                            | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:badger [weight: 7, min: 1, max: 2] }; { betteranimalsplus:blackbear [weight: 6, min: 1, max: 5] }; { betteranimalsplus:boar [weight: 9, min: 1, max: 4] }; { betteranimalsplus:brownbear [weight: 7, min: 1, max: 5] }; { betteranimalsplus:deer [weight: 16, min: 1, max: 4] }; { betteranimalsplus:feralwolf [weight: 7, min: 1, max: 6] }; { betteranimalsplus:goat [weight: 9, min: 1, max: 4] }; { betteranimalsplus:pheasant [weight: 12, min: 1, max: 3] }; { betteranimalsplus:songbird [weight: 11, min: 1, max: 4] }; { betteranimalsplus:squirrel [weight: 8, min: 1, max: 3] }; { betteranimalsplus:turkey [weight: 11, min: 1, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:fox [weight: 8, min: 2, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }                                                                                                                                                                                                                                                                                                                                                                             |
|   6 | minecraft:swamp                            | Swamp                                   | WARM       | OVERWORLD, SWAMP, WET                                          | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 1, min: 1, max: 1] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:crab [weight: 10, min: 1, max: 3] }; { betteranimalsplus:moose [weight: 8, min: 1, max: 1] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mubble:duck [weight: 10, min: 4, max: 4] }; { quark:frog [weight: 40, min: 1, max: 3] }; { betteranimalsplus:dragonfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { betteranimalsplus:eel_freshwater [weight: 7, min: 1, max: 2] }; { betteranimalsplus:lamprey [weight: 7, min: 1, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|   7 | minecraft:river                            | River                                   |            | OVERWORLD, RIVER, WATER                                        | { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:drowned [weight: 100, min: 1, max: 1] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { quark:toretoise [weight: 40, min: 1, max: 1] }; { betteranimalsplus:goose [weight: 15, min: 2, max: 5] }; { mubble:duck [weight: 10, min: 4, max: 4] }; { betteranimalsplus:dragonfly [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { betteranimalsplus:eel_freshwater [weight: 7, min: 1, max: 2] }; { betteranimalsplus:lamprey [weight: 7, min: 1, max: 1] }; { minecraft:salmon [weight: 5, min: 1, max: 5] }; { minecraft:squid [weight: 2, min: 1, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|   8 | minecraft:nether                           | Nether                                  |            | DRY, HOT, NETHER                                               | { doomweapon:arachnotron [weight: 30, min: 1, max: 4] }; { doomweapon:archvile [weight: 4, min: 1, max: 2] }; { doomweapon:baron [weight: 10, min: 1, max: 1] }; { doomweapon:cacodemon [weight: 8, min: 1, max: 2] }; { doomweapon:chaingunner [weight: 30, min: 1, max: 4] }; { doomweapon:cyberdemon [weight: 10, min: 1, max: 1] }; { doomweapon:cyberdemon2016 [weight: 10, min: 1, max: 1] }; { doomweapon:gore_nest [weight: 30, min: 1, max: 1] }; { doomweapon:hellknight [weight: 10, min: 1, max: 1] }; { doomweapon:imp [weight: 30, min: 1, max: 4] }; { doomweapon:imp2016 [weight: 30, min: 1, max: 4] }; { doomweapon:mancubus [weight: 10, min: 1, max: 1] }; { doomweapon:marauder [weight: 15, min: 1, max: 1] }; { doomweapon:mechazombie [weight: 30, min: 1, max: 4] }; { doomweapon:nightmare_imp [weight: 30, min: 1, max: 4] }; { doomweapon:painelemental [weight: 8, min: 1, max: 2] }; { doomweapon:pinky [weight: 12, min: 2, max: 4] }; { doomweapon:possessed_scientist [weight: 30, min: 1, max: 4] }; { doomweapon:possessed_soldier [weight: 30, min: 1, max: 4] }; { doomweapon:revenant [weight: 10, min: 1, max: 1] }; { doomweapon:shotgunguy [weight: 30, min: 1, max: 4] }; { doomweapon:spiderdemon [weight: 10, min: 1, max: 1] }; { doomweapon:unwilling [weight: 30, min: 1, max: 4] }; { doomweapon:zombieman [weight: 30, min: 1, max: 4] }; { extendednether:piglin [weight: 15, min: 4, max: 4] }; { extendednether:zombified_piglin [weight: 25, min: 4, max: 4] }; { minecraft:enderman [weight: 1, min: 4, max: 4] }; { minecraft:ghast [weight: 50, min: 4, max: 4] }; { minecraft:magma_cube [weight: 2, min: 4, max: 4] }; { minecraft:zombie_pigman [weight: 100, min: 4, max: 4] }; { nuggets_dungeons_ii:nether_beast [weight: 5, min: 1, max: 1] }; { quark:foxhound [weight: 30, min: 1, max: 2] }; { extendednether:strider [weight: 100, min: 1, max: 2] }                                                                               |
|   9 | minecraft:the_end                          | The End                                 |            | COLD, DRY, END                                                 | { explorercraft:enderghast [weight: 10, min: 1, max: 4] }; { explorercraft:enderreeper [weight: 2, min: 1, max: 1] }; { minecraft:enderman [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
