+----------------------------+---------------------------------------------------------+------------+-------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                  |
| of the Block class in question. The actual final values may be different                                        |
| for different states of the block, or they may depend on a TileEntity etc.                                      |
+----------------------------+---------------------------------------------------------+------------+-------------+
| Mod name                   | Registry name                                           |   Hardness |  Resistance |
+----------------------------+---------------------------------------------------------+------------+-------------+
| Applied Energistics 2      | appliedenergistics2:16k_crafting_storage                |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:1k_crafting_storage                 |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:4k_crafting_storage                 |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:64k_crafting_storage                |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:cable_bus                           |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:cell_workbench                      |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:charged_quartz_ore                  |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:charger                             |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:chest                               |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:chiseled_quartz_block               |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:chiseled_quartz_slab                |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:chiseled_quartz_stairs              |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:condenser                           |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:controller                          |       6.00 |        6.00 |
| Applied Energistics 2      | appliedenergistics2:crafting_accelerator                |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:crafting_monitor                    |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:crafting_unit                       |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:crank                               |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:creative_energy_cell                |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:debug_chunk_loader                  |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:debug_cube_gen                      |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:debug_energy_gen                    |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:debug_item_gen                      |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:debug_phantom_node                  |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:dense_energy_cell                   |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:drive                               |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:energy_acceptor                     |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:energy_cell                         |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:fluid_interface                     |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:fluix_block                         |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:fluix_slab                          |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:fluix_stairs                        |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:grindstone                          |       3.20 |        3.20 |
| Applied Energistics 2      | appliedenergistics2:inscriber                           |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:interface                           |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:io_port                             |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:light_detector                      |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:matrix_frame                        |      -1.00 |  6000000.00 |
| Applied Energistics 2      | appliedenergistics2:molecular_assembler                 |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:paint                               |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:quantum_link                        |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:quantum_ring                        |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:quartz_block                        |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:quartz_fixture                      |       0.00 |        0.00 |
| Applied Energistics 2      | appliedenergistics2:quartz_glass                        |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:quartz_growth_accelerator           |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:quartz_ore                          |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:quartz_pillar                       |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:quartz_pillar_slab                  |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:quartz_pillar_stairs                |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:quartz_slab                         |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:quartz_stairs                       |       3.00 |        5.00 |
| Applied Energistics 2      | appliedenergistics2:quartz_vibrant_glass                |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:security_station                    |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:sky_compass                         |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:sky_stone_block                     |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:sky_stone_brick                     |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:sky_stone_brick_slab                |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:sky_stone_brick_stairs              |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:sky_stone_chest                     |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:sky_stone_slab                      |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:sky_stone_small_brick               |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:sky_stone_small_brick_slab          |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:sky_stone_small_brick_stairs        |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:sky_stone_stairs                    |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:smooth_sky_stone_block              |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:smooth_sky_stone_chest              |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:smooth_sky_stone_slab               |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:smooth_sky_stone_stairs             |      50.00 |      150.00 |
| Applied Energistics 2      | appliedenergistics2:spatial_io_port                     |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:spatial_pylon                       |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:tiny_tnt                            |       2.20 |       11.00 |
| Applied Energistics 2      | appliedenergistics2:vibration_chamber                   |       4.20 |        4.20 |
| Applied Energistics 2      | appliedenergistics2:wireless_access_point               |       2.20 |       11.00 |
| Azuredooms Doom Mod        | doomweapon:argent_block                                 |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:argent_lamp_block                            |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:barrel                                       |       0.00 |        0.00 |
| Azuredooms Doom Mod        | doomweapon:doom_sand                                    |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall1                                   |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall10                                  |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall11                                  |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall12                                  |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall13                                  |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall14                                  |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall15                                  |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall16                                  |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall2                                   |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall3                                   |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall4                                   |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall5                                   |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall6                                   |       4.00 |        4.00 |
| Azuredooms Doom Mod        | doomweapon:icon_wall7                                   |       4.00 |        4.00 |
