+----------------------------+---------------------------------------------------------+---------------------------------------------------------+-----------------------------------------------------+--------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Mod name                   | Registry name                                           | Item ID                                                 | Display name                                        | Exists | Tags                                                                                                                                                                                                    |
+----------------------------+---------------------------------------------------------+---------------------------------------------------------+-----------------------------------------------------+--------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Applied Energistics 2      | appliedenergistics2:16k_crafting_storage                | appliedenergistics2:16k_crafting_storage                | 16k Crafting Storage                                | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:1k_crafting_storage                 | appliedenergistics2:1k_crafting_storage                 | 1k Crafting Storage                                 | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:4k_crafting_storage                 | appliedenergistics2:4k_crafting_storage                 | 4k Crafting Storage                                 | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:64k_crafting_storage                | appliedenergistics2:64k_crafting_storage                | 64k Crafting Storage                                | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:cable_bus                           | appliedenergistics2:cable_bus                           | AE2 Cable and/or Bus                                | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:cell_workbench                      | appliedenergistics2:cell_workbench                      | Cell Workbench                                      | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:charged_quartz_ore                  | appliedenergistics2:charged_quartz_ore                  | Charged Certus Quartz Ore                           | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:charger                             | appliedenergistics2:charger                             | Charger                                             | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:chest                               | appliedenergistics2:chest                               | ME Chest                                            | true   |                                                                                                                                                                                                         |
| Applied Energistics 2      | appliedenergistics2:chiseled_quartz_block               | appliedenergistics2:chiseled_quartz_block               | Chiseled Certus Quartz Block                        | true   |                                                                                                                                                                                                         |
