+---------------------------------------+---------------------------------------------------+--------------------+-----------+-----+
| Registry name                         | Name                                              | Type               | Rarity    |  ID |
+---------------------------------------+---------------------------------------------------+--------------------+-----------+-----+
| charm:curse_break                     | enchantment.charm.curse_break                     | BREAKABLE          | RARE      | 111 |
| charm:homing                          | enchantment.charm.homing                          | DIGGER             | RARE      | 112 |
| charm:leeching_curse                  | enchantment.charm.leeching_curse                  | BREAKABLE          | UNCOMMON  | 114 |
| charm:magnetic                        | enchantment.charm.magnetic                        | DIGGER             | UNCOMMON  | 115 |
| charm:salvage                         | enchantment.charm.salvage                         | BREAKABLE          | UNCOMMON  | 113 |
| dungeons_gear:accelerate              | enchantment.dungeons_gear.accelerate              | ranged             | RARE      |  71 |
| dungeons_gear:altruistic              | enchantment.dungeons_gear.altruistic              | ARMOR              | RARE      |  82 |
| dungeons_gear:anima_conduit           | enchantment.dungeons_gear.anima_conduit           | melee_ranged       | RARE      |  49 |
| dungeons_gear:bonus_shot              | enchantment.dungeons_gear.bonus_shot              | ranged             | RARE      |  72 |
| dungeons_gear:burning                 | enchantment.dungeons_gear.burning                 | ARMOR              | RARE      |  83 |
| dungeons_gear:busy_bee                | enchantment.dungeons_gear.busy_bee                | melee              | RARE      |  55 |
| dungeons_gear:chain_reaction          | enchantment.dungeons_gear.chain_reaction          | ranged             | RARE      |  73 |
| dungeons_gear:chains                  | enchantment.dungeons_gear.chains                  | melee              | RARE      |  56 |
| dungeons_gear:chilling                | enchantment.dungeons_gear.chilling                | ARMOR              | RARE      |  84 |
| dungeons_gear:committed               | enchantment.dungeons_gear.committed               | melee              | RARE      |  57 |
| dungeons_gear:cooldown                | enchantment.dungeons_gear.cooldown                | ARMOR              | RARE      |  85 |
| dungeons_gear:cowardice               | enchantment.dungeons_gear.cowardice               | ARMOR              | RARE      |  86 |
| dungeons_gear:critical_hit            | enchantment.dungeons_gear.critical_hit            | melee              | RARE      |  58 |
| dungeons_gear:deflect                 | enchantment.dungeons_gear.deflect                 | ARMOR              | RARE      |  87 |
| dungeons_gear:dynamo                  | enchantment.dungeons_gear.dynamo                  | melee_ranged       | RARE      |  54 |
| dungeons_gear:echo                    | enchantment.dungeons_gear.echo                    | melee              | RARE      |  59 |
| dungeons_gear:electrified             | enchantment.dungeons_gear.electrified             | ARMOR              | RARE      |  88 |
| dungeons_gear:enigma_resonator        | enchantment.dungeons_gear.enigma_resonator        | melee_ranged       | RARE      |  50 |
| dungeons_gear:exploding               | enchantment.dungeons_gear.exploding               | melee              | RARE      |  60 |
| dungeons_gear:final_shout             | enchantment.dungeons_gear.final_shout             | ARMOR              | RARE      |  89 |
| dungeons_gear:fire_trail              | enchantment.dungeons_gear.fire_trail              | ARMOR              | RARE      |  90 |
| dungeons_gear:food_reserves           | enchantment.dungeons_gear.food_reserves           | ARMOR              | RARE      |  91 |
| dungeons_gear:freezing                | enchantment.dungeons_gear.freezing                | melee              | RARE      |  51 |
| dungeons_gear:frenzied                | enchantment.dungeons_gear.frenzied                | ARMOR              | RARE      |  92 |
| dungeons_gear:fuse_shot               | enchantment.dungeons_gear.fuse_shot               | ranged             | RARE      |  74 |
| dungeons_gear:gravity                 | enchantment.dungeons_gear.gravity                 | melee_ranged       | RARE      |  52 |
| dungeons_gear:gravity_pulse           | enchantment.dungeons_gear.gravity_pulse           | ARMOR              | RARE      |  93 |
| dungeons_gear:growing                 | enchantment.dungeons_gear.growing                 | ranged             | RARE      |  75 |
| dungeons_gear:health_synergy          | enchantment.dungeons_gear.health_synergy          | ARMOR              | RARE      |  94 |
| dungeons_gear:leeching                | enchantment.dungeons_gear.leeching                | melee              | RARE      |  61 |
| dungeons_gear:poison_cloud            | enchantment.dungeons_gear.poison_cloud            | melee_ranged       | RARE      |  53 |
| dungeons_gear:potion_barrier          | enchantment.dungeons_gear.potion_barrier          | ARMOR              | RARE      |  95 |
| dungeons_gear:prospector              | enchantment.dungeons_gear.prospector              | melee              | RARE      |  62 |
| dungeons_gear:radiance                | enchantment.dungeons_gear.radiance                | melee              | RARE      |  63 |
| dungeons_gear:radiance_shot           | enchantment.dungeons_gear.radiance_shot           | ranged             | RARE      |  77 |
| dungeons_gear:rampaging               | enchantment.dungeons_gear.rampaging               | melee              | RARE      |  64 |
| dungeons_gear:recycler                | enchantment.dungeons_gear.recycler                | ARMOR              | RARE      | 101 |
| dungeons_gear:replenish               | enchantment.dungeons_gear.replenish               | ranged             | RARE      |  76 |
| dungeons_gear:ricochet                | enchantment.dungeons_gear.ricochet                | CROSSBOW           | RARE      |  78 |
| dungeons_gear:shockwave               | enchantment.dungeons_gear.shockwave               | melee              | RARE      |  65 |
| dungeons_gear:snowball                | enchantment.dungeons_gear.snowball                | ARMOR              | RARE      |  96 |
| dungeons_gear:soul_siphon             | enchantment.dungeons_gear.soul_siphon             | melee              | RARE      |  66 |
| dungeons_gear:speed_synergy           | enchantment.dungeons_gear.speed_synergy           | ARMOR              | RARE      |  97 |
| dungeons_gear:stunning                | enchantment.dungeons_gear.stunning                | melee              | RARE      |  67 |
| dungeons_gear:supercharge             | enchantment.dungeons_gear.supercharge             | ranged             | RARE      |  79 |
| dungeons_gear:surprise_gift           | enchantment.dungeons_gear.surprise_gift           | ARMOR              | RARE      |  98 |
| dungeons_gear:swiftfooted             | enchantment.dungeons_gear.swiftfooted             | ARMOR              | RARE      |  99 |
| dungeons_gear:swirling                | enchantment.dungeons_gear.swirling                | melee              | RARE      |  68 |
| dungeons_gear:tempo_theft             | enchantment.dungeons_gear.tempo_theft             | ranged             | RARE      |  80 |
| dungeons_gear:thundering              | enchantment.dungeons_gear.thundering              | melee              | RARE      |  69 |
| dungeons_gear:tumblebee               | enchantment.dungeons_gear.tumblebee               | ARMOR              | RARE      | 100 |
| dungeons_gear:weakening               | enchantment.dungeons_gear.weakening               | melee              | RARE      |  70 |
| dungeons_gear:wild_rage               | enchantment.dungeons_gear.wild_rage               | armor_ranged       | RARE      |  81 |
| explorercraft:enderbane               | enchantment.explorercraft.enderbane               | WEAPON             | RARE      | 106 |
| explorercraft:illiagerbane            | enchantment.explorercraft.illiagerbane            | WEAPON             | RARE      | 107 |
| explorercraft:netherbane              | enchantment.explorercraft.netherbane              | WEAPON             | RARE      | 105 |
| minecraft:aqua_affinity               | enchantment.minecraft.aqua_affinity               | ARMOR_HEAD         | RARE      |   6 |
| minecraft:bane_of_arthropods          | enchantment.minecraft.bane_of_arthropods          | WEAPON             | UNCOMMON  |  13 |
| minecraft:binding_curse               | enchantment.minecraft.binding_curse               | WEARABLE           | VERY_RARE |  10 |
| minecraft:blast_protection            | enchantment.minecraft.blast_protection            | ARMOR              | RARE      |   3 |
| minecraft:channeling                  | enchantment.minecraft.channeling                  | TRIDENT            | VERY_RARE |  31 |
| minecraft:depth_strider               | enchantment.minecraft.depth_strider               | ARMOR_FEET         | RARE      |   8 |
| minecraft:efficiency                  | enchantment.minecraft.efficiency                  | DIGGER             | COMMON    |  18 |
| minecraft:feather_falling             | enchantment.minecraft.feather_falling             | ARMOR_FEET         | UNCOMMON  |   2 |
| minecraft:fire_aspect                 | enchantment.minecraft.fire_aspect                 | WEAPON             | RARE      |  15 |
| minecraft:fire_protection             | enchantment.minecraft.fire_protection             | ARMOR              | UNCOMMON  |   1 |
| minecraft:flame                       | enchantment.minecraft.flame                       | BOW                | RARE      |  24 |
| minecraft:fortune                     | enchantment.minecraft.fortune                     | DIGGER             | RARE      |  21 |
| minecraft:frost_walker                | enchantment.minecraft.frost_walker                | ARMOR_FEET         | RARE      |   9 |
| minecraft:impaling                    | enchantment.minecraft.impaling                    | TRIDENT            | RARE      |  29 |
| minecraft:infinity                    | enchantment.minecraft.infinity                    | BOW                | VERY_RARE |  25 |
| minecraft:knockback                   | enchantment.minecraft.knockback                   | WEAPON             | UNCOMMON  |  14 |
| minecraft:looting                     | enchantment.minecraft.looting                     | WEAPON             | RARE      |  16 |
