+----------------------------+--------------------------------------------------+--------------------------------------------------------------------------------------------+-----+
| Mod name                   | Registry name                                    | Entity class name                                                                          |  ID |
+----------------------------+--------------------------------------------------+--------------------------------------------------------------------------------------------+-----+
| Abnormals Core             | abnormals_core:boat                              | com.teamabnormals.abnormals_core.common.entity.AbnormalsBoatEntity                         | 328 |
| Applied Energistics 2      | appliedenergistics2:charged_quartz               | appeng.entity.ChargedQuartzEntity                                                          | 335 |
| Applied Energistics 2      | appliedenergistics2:growing_crystal              | appeng.entity.GrowingCrystalEntity                                                         | 336 |
| Applied Energistics 2      | appliedenergistics2:singularity                  | appeng.entity.SingularityEntity                                                            | 334 |
| Applied Energistics 2      | appliedenergistics2:tiny_tnt_primed              | appeng.entity.TinyTNTPrimedEntity                                                          | 333 |
| Artifacts                  | artifacts:mimic                                  | artifacts.common.entity.MimicEntity                                                        | 337 |
| Azuredooms Doom Mod        | doomweapon:arachnotron                           | mod.azure.doom.entity.ArachnotronEntity                                                    | 407 |
| Azuredooms Doom Mod        | doomweapon:archvile                              | mod.azure.doom.entity.ArchvileEntity                                                       | 404 |
| Azuredooms Doom Mod        | doomweapon:argent_bolt                           | mod.azure.doom.entity.projectiles.ArgentBoltEntity                                         | 391 |
| Azuredooms Doom Mod        | doomweapon:barenblast                            | mod.azure.doom.entity.projectiles.entity.BarenBlastEntity                                  | 397 |
| Azuredooms Doom Mod        | doomweapon:baron                                 | mod.azure.doom.entity.BaronEntity                                                          | 405 |
| Azuredooms Doom Mod        | doomweapon:barrel                                | mod.azure.doom.entity.projectiles.BarrelEntity                                             | 389 |
| Azuredooms Doom Mod        | doomweapon:bfg_cell                              | mod.azure.doom.entity.projectiles.BFGEntity                                                | 394 |
| Azuredooms Doom Mod        | doomweapon:bullets                               | mod.azure.doom.entity.projectiles.BulletEntity                                             | 398 |
| Azuredooms Doom Mod        | doomweapon:cacodemon                             | mod.azure.doom.entity.CacodemonEntity                                                      | 403 |
| Azuredooms Doom Mod        | doomweapon:chaingunbullets                       | mod.azure.doom.entity.projectiles.ChaingunBulletEntity                                     | 399 |
| Azuredooms Doom Mod        | doomweapon:chaingunner                           | mod.azure.doom.entity.ChaingunnerEntity                                                    | 412 |
| Azuredooms Doom Mod        | doomweapon:cyberdemon                            | mod.azure.doom.entity.CyberdemonEntity                                                     | 417 |
| Azuredooms Doom Mod        | doomweapon:cyberdemon2016                        | mod.azure.doom.entity.Cyberdemon2016Entity                                                 | 418 |
| Azuredooms Doom Mod        | doomweapon:energy_cell                           | mod.azure.doom.entity.projectiles.EnergyCellEntity                                         | 393 |
| Azuredooms Doom Mod        | doomweapon:energy_cell_mob                       | mod.azure.doom.entity.projectiles.entity.EnergyCellMobEntity                               | 425 |
| Azuredooms Doom Mod        | doomweapon:gore_nest                             | mod.azure.doom.entity.GoreNestEntity                                                       | 421 |
| Azuredooms Doom Mod        | doomweapon:hellknight                            | mod.azure.doom.entity.HellknightEntity                                                     | 416 |
| Azuredooms Doom Mod        | doomweapon:iconofsin                             | mod.azure.doom.entity.IconofsinEntity                                                      | 424 |
| Azuredooms Doom Mod        | doomweapon:imp                                   | mod.azure.doom.entity.ImpEntity                                                            | 400 |
| Azuredooms Doom Mod        | doomweapon:imp2016                               | mod.azure.doom.entity.Imp2016Entity                                                        | 411 |
| Azuredooms Doom Mod        | doomweapon:lost_soul                             | mod.azure.doom.entity.LostSoulEntity                                                       | 396 |
| Azuredooms Doom Mod        | doomweapon:mancubus                              | mod.azure.doom.entity.MancubusEntity                                                       | 406 |
| Azuredooms Doom Mod        | doomweapon:marauder                              | mod.azure.doom.entity.MarauderEntity                                                       | 413 |
| Azuredooms Doom Mod        | doomweapon:mechazombie                           | mod.azure.doom.entity.MechaZombieEntity                                                    | 423 |
| Azuredooms Doom Mod        | doomweapon:nightmare_imp                         | mod.azure.doom.entity.NightmareImpEntity                                                   | 401 |
| Azuredooms Doom Mod        | doomweapon:painelemental                         | mod.azure.doom.entity.PainEntity                                                           | 415 |
| Azuredooms Doom Mod        | doomweapon:pinky                                 | mod.azure.doom.entity.PinkyEntity                                                          | 402 |
| Azuredooms Doom Mod        | doomweapon:possessed_scientist                   | mod.azure.doom.entity.PossessedScientistEntity                                             | 422 |
| Azuredooms Doom Mod        | doomweapon:possessed_soldier                     | mod.azure.doom.entity.PossessedSoldierEntity                                               | 420 |
| Azuredooms Doom Mod        | doomweapon:revenant                              | mod.azure.doom.entity.RevenantEntity                                                       | 410 |
| Azuredooms Doom Mod        | doomweapon:rocket                                | mod.azure.doom.entity.projectiles.RocketEntity                                             | 395 |
| Azuredooms Doom Mod        | doomweapon:rocket_mob                            | mod.azure.doom.entity.projectiles.entity.RocketMobEntity                                   | 426 |
| Azuredooms Doom Mod        | doomweapon:shotgun_shell                         | mod.azure.doom.entity.projectiles.ShotgunShellEntity                                       | 390 |
| Azuredooms Doom Mod        | doomweapon:shotgunguy                            | mod.azure.doom.entity.ShotgunguyEntity                                                     | 414 |
| Azuredooms Doom Mod        | doomweapon:spiderdemon                           | mod.azure.doom.entity.SpiderdemonEntity                                                    | 408 |
| Azuredooms Doom Mod        | doomweapon:unmaykr_bolt                          | mod.azure.doom.entity.projectiles.UnmaykrBoltEntity                                        | 392 |
| Azuredooms Doom Mod        | doomweapon:unwilling                             | mod.azure.doom.entity.UnwillingEntity                                                      | 419 |
| Azuredooms Doom Mod        | doomweapon:zombieman                             | mod.azure.doom.entity.ZombiemanEntity                                                      | 409 |
| Better Animals Plus        | betteranimalsplus:badger                         | its_meow.betteranimalsplus.common.entity.EntityBadger                                      | 358 |
| Better Animals Plus        | betteranimalsplus:badgerdirt                     | its_meow.betteranimalsplus.common.entity.projectile.EntityBadgerDirt                       | 339 |
| Better Animals Plus        | betteranimalsplus:barracuda                      | its_meow.betteranimalsplus.common.entity.EntityBarracuda                                   | 374 |
| Better Animals Plus        | betteranimalsplus:blackbear                      | its_meow.betteranimalsplus.common.entity.EntityBearNeutral                                 | 345 |
| Better Animals Plus        | betteranimalsplus:boar                           | its_meow.betteranimalsplus.common.entity.EntityBoar                                        | 355 |
| Better Animals Plus        | betteranimalsplus:bobbit_worm                    | its_meow.betteranimalsplus.common.entity.EntityBobbitWorm                                  | 366 |
| Better Animals Plus        | betteranimalsplus:brownbear                      | its_meow.betteranimalsplus.common.entity.EntityBear                                        | 344 |
| Better Animals Plus        | betteranimalsplus:butterfly                      | its_meow.betteranimalsplus.common.entity.EntityButterfly                                   | 372 |
| Better Animals Plus        | betteranimalsplus:coyote                         | its_meow.betteranimalsplus.common.entity.EntityCoyote                                      | 349 |
| Better Animals Plus        | betteranimalsplus:crab                           | its_meow.betteranimalsplus.common.entity.EntityCrab                                        | 361 |
| Better Animals Plus        | betteranimalsplus:deer                           | its_meow.betteranimalsplus.common.entity.EntityDeer                                        | 346 |
| Better Animals Plus        | betteranimalsplus:dragonfly                      | its_meow.betteranimalsplus.common.entity.EntityDragonfly                                   | 373 |
| Better Animals Plus        | betteranimalsplus:eel_freshwater                 | its_meow.betteranimalsplus.common.entity.EntityFreshwaterEel                               | 368 |
| Better Animals Plus        | betteranimalsplus:eel_saltwater                  | its_meow.betteranimalsplus.common.entity.EntitySaltwaterEel                                | 369 |
| Better Animals Plus        | betteranimalsplus:feralwolf                      | its_meow.betteranimalsplus.common.entity.EntityFeralWolf                                   | 348 |
| Better Animals Plus        | betteranimalsplus:flying_fish                    | its_meow.betteranimalsplus.common.entity.EntityFlyingFish                                  | 375 |
| Better Animals Plus        | betteranimalsplus:goat                           | its_meow.betteranimalsplus.common.entity.EntityGoat                                        | 351 |
| Better Animals Plus        | betteranimalsplus:golden_goose_egg               | its_meow.betteranimalsplus.common.entity.projectile.EntityGoldenGooseEgg                   | 343 |
| Better Animals Plus        | betteranimalsplus:goose                          | its_meow.betteranimalsplus.common.entity.EntityGoose                                       | 367 |
| Better Animals Plus        | betteranimalsplus:goose_egg                      | its_meow.betteranimalsplus.common.entity.projectile.EntityGooseEgg                         | 342 |
| Better Animals Plus        | betteranimalsplus:horseshoecrab                  | its_meow.betteranimalsplus.common.entity.EntityHorseshoeCrab                               | 362 |
| Better Animals Plus        | betteranimalsplus:jellyfish                      | its_meow.betteranimalsplus.common.entity.EntityJellyfish                                   | 352 |
| Better Animals Plus        | betteranimalsplus:lammergeier                    | its_meow.betteranimalsplus.common.entity.EntityLammergeier                                 | 347 |
| Better Animals Plus        | betteranimalsplus:lamprey                        | its_meow.betteranimalsplus.common.entity.EntityLamprey                                     | 359 |
| Better Animals Plus        | betteranimalsplus:moose                          | its_meow.betteranimalsplus.common.entity.EntityMoose                                       | 364 |
| Better Animals Plus        | betteranimalsplus:nautilus                       | its_meow.betteranimalsplus.common.entity.EntityNautilus                                    | 360 |
| Better Animals Plus        | betteranimalsplus:octopus                        | its_meow.betteranimalsplus.common.entity.EntityOctopus                                     | 379 |
| Better Animals Plus        | betteranimalsplus:pheasant                       | its_meow.betteranimalsplus.common.entity.EntityPheasant                                    | 353 |
| Better Animals Plus        | betteranimalsplus:pheasant_egg                   | its_meow.betteranimalsplus.common.entity.projectile.EntityPheasantEgg                      | 340 |
| Better Animals Plus        | betteranimalsplus:piranha                        | its_meow.betteranimalsplus.common.entity.EntityPiranha                                     | 378 |
| Better Animals Plus        | betteranimalsplus:reindeer                       | its_meow.betteranimalsplus.common.entity.EntityReindeer                                    | 354 |
| Better Animals Plus        | betteranimalsplus:shark                          | its_meow.betteranimalsplus.common.entity.EntityShark                                       | 363 |
| Better Animals Plus        | betteranimalsplus:songbird                       | its_meow.betteranimalsplus.common.entity.EntitySongbird                                    | 357 |
| Better Animals Plus        | betteranimalsplus:squid_colossal                 | its_meow.betteranimalsplus.common.entity.EntityColossalSquid                               | 376 |
| Better Animals Plus        | betteranimalsplus:squid_giant                    | its_meow.betteranimalsplus.common.entity.EntityGiantSquid                                  | 377 |
| Better Animals Plus        | betteranimalsplus:squirrel                       | its_meow.betteranimalsplus.common.entity.EntitySquirrel                                    | 356 |
| Better Animals Plus        | betteranimalsplus:tarantula                      | its_meow.betteranimalsplus.common.entity.EntityTarantula                                   | 350 |
| Better Animals Plus        | betteranimalsplus:tarantulahair                  | its_meow.betteranimalsplus.common.entity.projectile.EntityTarantulaHair                    | 338 |
