+----------------------------+--------------------------------------------------+-----+
| Mod name                   | Registry name                                    |  ID |
+----------------------------+--------------------------------------------------+-----+
| Abnormals Core             | abnormals_core:boat                              | 328 |
| Applied Energistics 2      | appliedenergistics2:charged_quartz               | 335 |
| Applied Energistics 2      | appliedenergistics2:growing_crystal              | 336 |
| Applied Energistics 2      | appliedenergistics2:singularity                  | 334 |
| Applied Energistics 2      | appliedenergistics2:tiny_tnt_primed              | 333 |
| Artifacts                  | artifacts:mimic                                  | 337 |
| Azuredooms Doom Mod        | doomweapon:arachnotron                           | 407 |
| Azuredooms Doom Mod        | doomweapon:archvile                              | 404 |
| Azuredooms Doom Mod        | doomweapon:argent_bolt                           | 391 |
| Azuredooms Doom Mod        | doomweapon:barenblast                            | 397 |
| Azuredooms Doom Mod        | doomweapon:baron                                 | 405 |
| Azuredooms Doom Mod        | doomweapon:barrel                                | 389 |
| Azuredooms Doom Mod        | doomweapon:bfg_cell                              | 394 |
| Azuredooms Doom Mod        | doomweapon:bullets                               | 398 |
| Azuredooms Doom Mod        | doomweapon:cacodemon                             | 403 |
| Azuredooms Doom Mod        | doomweapon:chaingunbullets                       | 399 |
| Azuredooms Doom Mod        | doomweapon:chaingunner                           | 412 |
| Azuredooms Doom Mod        | doomweapon:cyberdemon                            | 417 |
| Azuredooms Doom Mod        | doomweapon:cyberdemon2016                        | 418 |
| Azuredooms Doom Mod        | doomweapon:energy_cell                           | 393 |
| Azuredooms Doom Mod        | doomweapon:energy_cell_mob                       | 425 |
| Azuredooms Doom Mod        | doomweapon:gore_nest                             | 421 |
| Azuredooms Doom Mod        | doomweapon:hellknight                            | 416 |
| Azuredooms Doom Mod        | doomweapon:iconofsin                             | 424 |
| Azuredooms Doom Mod        | doomweapon:imp                                   | 400 |
| Azuredooms Doom Mod        | doomweapon:imp2016                               | 411 |
| Azuredooms Doom Mod        | doomweapon:lost_soul                             | 396 |
| Azuredooms Doom Mod        | doomweapon:mancubus                              | 406 |
| Azuredooms Doom Mod        | doomweapon:marauder                              | 413 |
| Azuredooms Doom Mod        | doomweapon:mechazombie                           | 423 |
| Azuredooms Doom Mod        | doomweapon:nightmare_imp                         | 401 |
| Azuredooms Doom Mod        | doomweapon:painelemental                         | 415 |
| Azuredooms Doom Mod        | doomweapon:pinky                                 | 402 |
| Azuredooms Doom Mod        | doomweapon:possessed_scientist                   | 422 |
| Azuredooms Doom Mod        | doomweapon:possessed_soldier                     | 420 |
| Azuredooms Doom Mod        | doomweapon:revenant                              | 410 |
| Azuredooms Doom Mod        | doomweapon:rocket                                | 395 |
| Azuredooms Doom Mod        | doomweapon:rocket_mob                            | 426 |
| Azuredooms Doom Mod        | doomweapon:shotgun_shell                         | 390 |
| Azuredooms Doom Mod        | doomweapon:shotgunguy                            | 414 |
| Azuredooms Doom Mod        | doomweapon:spiderdemon                           | 408 |
| Azuredooms Doom Mod        | doomweapon:unmaykr_bolt                          | 392 |
| Azuredooms Doom Mod        | doomweapon:unwilling                             | 419 |
| Azuredooms Doom Mod        | doomweapon:zombieman                             | 409 |
| Better Animals Plus        | betteranimalsplus:badger                         | 358 |
| Better Animals Plus        | betteranimalsplus:badgerdirt                     | 339 |
| Better Animals Plus        | betteranimalsplus:barracuda                      | 374 |
| Better Animals Plus        | betteranimalsplus:blackbear                      | 345 |
| Better Animals Plus        | betteranimalsplus:boar                           | 355 |
| Better Animals Plus        | betteranimalsplus:bobbit_worm                    | 366 |
| Better Animals Plus        | betteranimalsplus:brownbear                      | 344 |
| Better Animals Plus        | betteranimalsplus:butterfly                      | 372 |
| Better Animals Plus        | betteranimalsplus:coyote                         | 349 |
| Better Animals Plus        | betteranimalsplus:crab                           | 361 |
| Better Animals Plus        | betteranimalsplus:deer                           | 346 |
| Better Animals Plus        | betteranimalsplus:dragonfly                      | 373 |
| Better Animals Plus        | betteranimalsplus:eel_freshwater                 | 368 |
| Better Animals Plus        | betteranimalsplus:eel_saltwater                  | 369 |
| Better Animals Plus        | betteranimalsplus:feralwolf                      | 348 |
| Better Animals Plus        | betteranimalsplus:flying_fish                    | 375 |
| Better Animals Plus        | betteranimalsplus:goat                           | 351 |
| Better Animals Plus        | betteranimalsplus:golden_goose_egg               | 343 |
| Better Animals Plus        | betteranimalsplus:goose                          | 367 |
| Better Animals Plus        | betteranimalsplus:goose_egg                      | 342 |
| Better Animals Plus        | betteranimalsplus:horseshoecrab                  | 362 |
| Better Animals Plus        | betteranimalsplus:jellyfish                      | 352 |
| Better Animals Plus        | betteranimalsplus:lammergeier                    | 347 |
| Better Animals Plus        | betteranimalsplus:lamprey                        | 359 |
| Better Animals Plus        | betteranimalsplus:moose                          | 364 |
| Better Animals Plus        | betteranimalsplus:nautilus                       | 360 |
| Better Animals Plus        | betteranimalsplus:octopus                        | 379 |
| Better Animals Plus        | betteranimalsplus:pheasant                       | 353 |
| Better Animals Plus        | betteranimalsplus:pheasant_egg                   | 340 |
| Better Animals Plus        | betteranimalsplus:piranha                        | 378 |
| Better Animals Plus        | betteranimalsplus:reindeer                       | 354 |
| Better Animals Plus        | betteranimalsplus:shark                          | 363 |
| Better Animals Plus        | betteranimalsplus:songbird                       | 357 |
| Better Animals Plus        | betteranimalsplus:squid_colossal                 | 376 |
| Better Animals Plus        | betteranimalsplus:squid_giant                    | 377 |
| Better Animals Plus        | betteranimalsplus:squirrel                       | 356 |
| Better Animals Plus        | betteranimalsplus:tarantula                      | 350 |
| Better Animals Plus        | betteranimalsplus:tarantulahair                  | 338 |
| Better Animals Plus        | betteranimalsplus:turkey                         | 365 |
| Better Animals Plus        | betteranimalsplus:turkey_egg                     | 341 |
| Better Animals Plus        | betteranimalsplus:walrus                         | 371 |
| Better Animals Plus        | betteranimalsplus:whale                          | 370 |
| Charm                      | charm:endermite_powder                           | 439 |
| Clumps                     | clumps:xp_orb_big                                | 332 |
| Create                     | create:contraption                               | 330 |
| Create                     | create:stationary_contraption                    | 331 |
| Create                     | create:super_glue                                | 329 |
| Dungeons Gear              | dungeons_gear:ice_cloud                          | 327 |
| Explorercraft              | explorercraft:brush_stooge                       | 381 |
| Explorercraft              | explorercraft:enderghast                         | 382 |
| Explorercraft              | explorercraft:enderreeper                        | 383 |
| Explorercraft              | explorercraft:infected_creeper                   | 384 |
| Explorercraft              | explorercraft:infected_skeleton                  | 385 |
| Explorercraft              | explorercraft:infected_zombie                    | 386 |
| Explorercraft              | explorercraft:skeletaur                          | 387 |
| Explorercraft              | explorercraft:wizard                             | 388 |
| Extended Nether Backport   | extendednether:hoglin                            | 462 |
| Extended Nether Backport   | extendednether:piglin                            | 463 |
| Extended Nether Backport   | extendednether:strider                           | 464 |
| Extended Nether Backport   | extendednether:zoglin                            | 465 |
| Extended Nether Backport   | extendednether:zombified_piglin                  | 466 |
| Fairy Lights               | fairylights:fastener                             | 113 |
| Farming for Blockheads     | farmingforblockheads:merchant                    | 380 |
| Flux Networks              | fluxnetworks:fireitem                            | 445 |
| Joy of Painting            | xercapaint:canvas                                | 114 |
| Minecraft                  | minecraft:area_effect_cloud                      |   0 |
| Minecraft                  | minecraft:armor_stand                            |   1 |
| Minecraft                  | minecraft:arrow                                  |   2 |
| Minecraft                  | minecraft:bat                                    |   3 |
| Minecraft                  | minecraft:bee                                    |   4 |
| Minecraft                  | minecraft:blaze                                  |   5 |
| Minecraft                  | minecraft:boat                                   |   6 |
| Minecraft                  | minecraft:cat                                    |   7 |
| Minecraft                  | minecraft:cave_spider                            |   8 |
| Minecraft                  | minecraft:chest_minecart                         |  43 |
| Minecraft                  | minecraft:chicken                                |   9 |
| Minecraft                  | minecraft:cod                                    |  10 |
| Minecraft                  | minecraft:command_block_minecart                 |  44 |
| Minecraft                  | minecraft:cow                                    |  11 |
| Minecraft                  | minecraft:creeper                                |  12 |
| Minecraft                  | minecraft:dolphin                                |  14 |
| Minecraft                  | minecraft:donkey                                 |  13 |
| Minecraft                  | minecraft:dragon_fireball                        |  15 |
| Minecraft                  | minecraft:drowned                                |  16 |
| Minecraft                  | minecraft:egg                                    |  79 |
| Minecraft                  | minecraft:elder_guardian                         |  17 |
| Minecraft                  | minecraft:end_crystal                            |  18 |
| Minecraft                  | minecraft:ender_dragon                           |  19 |
| Minecraft                  | minecraft:ender_pearl                            |  80 |
| Minecraft                  | minecraft:enderman                               |  20 |
| Minecraft                  | minecraft:endermite                              |  21 |
| Minecraft                  | minecraft:evoker                                 |  23 |
| Minecraft                  | minecraft:evoker_fangs                           |  22 |
| Minecraft                  | minecraft:experience_bottle                      |  81 |
| Minecraft                  | minecraft:experience_orb                         |  24 |
| Minecraft                  | minecraft:eye_of_ender                           |  25 |
| Minecraft                  | minecraft:falling_block                          |  26 |
| Minecraft                  | minecraft:fireball                               |  37 |
| Minecraft                  | minecraft:firework_rocket                        |  27 |
| Minecraft                  | minecraft:fishing_bobber                         | 102 |
| Minecraft                  | minecraft:fox                                    |  28 |
| Minecraft                  | minecraft:furnace_minecart                       |  45 |
| Minecraft                  | minecraft:ghast                                  |  29 |
| Minecraft                  | minecraft:giant                                  |  30 |
| Minecraft                  | minecraft:guardian                               |  31 |
| Minecraft                  | minecraft:hopper_minecart                        |  46 |
| Minecraft                  | minecraft:horse                                  |  32 |
| Minecraft                  | minecraft:husk                                   |  33 |
| Minecraft                  | minecraft:illusioner                             |  34 |
| Minecraft                  | minecraft:iron_golem                             |  86 |
| Minecraft                  | minecraft:item                                   |  35 |
| Minecraft                  | minecraft:item_frame                             |  36 |
| Minecraft                  | minecraft:leash_knot                             |  38 |
| Minecraft                  | minecraft:lightning_bolt                         | 100 |
| Minecraft                  | minecraft:llama                                  |  39 |
| Minecraft                  | minecraft:llama_spit                             |  40 |
| Minecraft                  | minecraft:magma_cube                             |  41 |
| Minecraft                  | minecraft:minecart                               |  42 |
| Minecraft                  | minecraft:mooshroom                              |  50 |
| Minecraft                  | minecraft:mule                                   |  49 |
| Minecraft                  | minecraft:ocelot                                 |  51 |
| Minecraft                  | minecraft:painting                               |  52 |
| Minecraft                  | minecraft:panda                                  |  53 |
| Minecraft                  | minecraft:parrot                                 |  54 |
| Minecraft                  | minecraft:phantom                                |  98 |
| Minecraft                  | minecraft:pig                                    |  55 |
| Minecraft                  | minecraft:pillager                               |  88 |
