+--------------------------+--------------------------------------------+-----+
| Mod name                 | Registry name                              |  ID |
+--------------------------+--------------------------------------------+-----+
| Applied Energistics 2    | appliedenergistics2:charged_quartz         | 115 |
| Applied Energistics 2    | appliedenergistics2:growing_crystal        | 116 |
| Applied Energistics 2    | appliedenergistics2:singularity            | 114 |
| Applied Energistics 2    | appliedenergistics2:tiny_tnt_primed        | 113 |
| Artifacts                | artifacts:mimic                            | 182 |
| Clumps                   | clumps:xp_orb_big                          | 112 |
| Create                   | create:contraption                         | 109 |
| Create                   | create:seat                                | 111 |
| Create                   | create:stationary_contraption              | 110 |
| Create                   | create:super_glue                          | 108 |
| Doom Mod                 | doomweapon:arachnotron                     | 160 |
| Doom Mod                 | doomweapon:archvile                        | 156 |
| Doom Mod                 | doomweapon:archvile_firing                 | 139 |
| Doom Mod                 | doomweapon:argent_bolt                     | 142 |
| Doom Mod                 | doomweapon:barenblast                      | 148 |
| Doom Mod                 | doomweapon:baron                           | 157 |
| Doom Mod                 | doomweapon:barrel                          | 140 |
| Doom Mod                 | doomweapon:bfg_cell                        | 145 |
| Doom Mod                 | doomweapon:bullets                         | 149 |
| Doom Mod                 | doomweapon:cacodemon                       | 155 |
| Doom Mod                 | doomweapon:chaingun_mob                    | 180 |
| Doom Mod                 | doomweapon:chaingunbullets                 | 150 |
| Doom Mod                 | doomweapon:chaingunner                     | 164 |
| Doom Mod                 | doomweapon:cyberdemon                      | 170 |
| Doom Mod                 | doomweapon:cyberdemon2016                  | 171 |
| Doom Mod                 | doomweapon:energy_cell                     | 144 |
| Doom Mod                 | doomweapon:energy_cell_mob                 | 178 |
| Doom Mod                 | doomweapon:gargoyle                        | 181 |
| Doom Mod                 | doomweapon:gore_nest                       | 174 |
| Doom Mod                 | doomweapon:hellknight                      | 168 |
| Doom Mod                 | doomweapon:hellknight2016                  | 169 |
| Doom Mod                 | doomweapon:iconofsin                       | 177 |
| Doom Mod                 | doomweapon:imp                             | 151 |
| Doom Mod                 | doomweapon:imp2016                         | 163 |
| Doom Mod                 | doomweapon:lost_soul                       | 147 |
| Doom Mod                 | doomweapon:mancubus                        | 158 |
| Doom Mod                 | doomweapon:marauder                        | 165 |
| Doom Mod                 | doomweapon:mechazombie                     | 176 |
| Doom Mod                 | doomweapon:nightmare_imp                   | 152 |
| Doom Mod                 | doomweapon:painelemental                   | 167 |
| Doom Mod                 | doomweapon:pinky                           | 153 |
| Doom Mod                 | doomweapon:possessed_scientist             | 175 |
| Doom Mod                 | doomweapon:possessed_soldier               | 173 |
| Doom Mod                 | doomweapon:revenant                        | 162 |
| Doom Mod                 | doomweapon:rocket                          | 146 |
| Doom Mod                 | doomweapon:rocket_mob                      | 179 |
| Doom Mod                 | doomweapon:shotgun_shell                   | 141 |
| Doom Mod                 | doomweapon:shotgunguy                      | 166 |
| Doom Mod                 | doomweapon:spectre                         | 154 |
| Doom Mod                 | doomweapon:spiderdemon                     | 159 |
| Doom Mod                 | doomweapon:unmaykr_bolt                    | 143 |
| Doom Mod                 | doomweapon:unwilling                       | 172 |
| Doom Mod                 | doomweapon:zombieman                       | 161 |
| Farming for Blockheads   | farmingforblockheads:merchant              | 118 |
| Immersive Portals        | immersive_portals:border_portal            | 125 |
| Immersive Portals        | immersive_portals:breakable_mirror         | 123 |
| Immersive Portals        | immersive_portals:end_floor_portal         | 126 |
| Immersive Portals        | immersive_portals:end_portal               | 121 |
| Immersive Portals        | immersive_portals:general_breakable_portal | 127 |
| Immersive Portals        | immersive_portals:global_tracked_portal    | 124 |
| Immersive Portals        | immersive_portals:loading_indicator        | 128 |
| Immersive Portals        | immersive_portals:mirror                   | 122 |
| Immersive Portals        | immersive_portals:nether_portal_new        | 120 |
| Immersive Portals        | immersive_portals:portal                   | 119 |
| Joy of Painting          | xercapaint:canvas                          | 188 |
| Minecraft                | minecraft:area_effect_cloud                |   0 |
| Minecraft                | minecraft:armor_stand                      |   1 |
| Minecraft                | minecraft:arrow                            |   2 |
| Minecraft                | minecraft:bat                              |   3 |
| Minecraft                | minecraft:bee                              |   4 |
| Minecraft                | minecraft:blaze                            |   5 |
| Minecraft                | minecraft:boat                             |   6 |
| Minecraft                | minecraft:cat                              |   7 |
| Minecraft                | minecraft:cave_spider                      |   8 |
| Minecraft                | minecraft:chest_minecart                   |  46 |
| Minecraft                | minecraft:chicken                          |   9 |
| Minecraft                | minecraft:cod                              |  10 |
| Minecraft                | minecraft:command_block_minecart           |  47 |
| Minecraft                | minecraft:cow                              |  11 |
| Minecraft                | minecraft:creeper                          |  12 |
| Minecraft                | minecraft:dolphin                          |  13 |
| Minecraft                | minecraft:donkey                           |  14 |
| Minecraft                | minecraft:dragon_fireball                  |  15 |
| Minecraft                | minecraft:drowned                          |  16 |
| Minecraft                | minecraft:egg                              |  84 |
| Minecraft                | minecraft:elder_guardian                   |  17 |
| Minecraft                | minecraft:end_crystal                      |  18 |
| Minecraft                | minecraft:ender_dragon                     |  19 |
| Minecraft                | minecraft:ender_pearl                      |  85 |
| Minecraft                | minecraft:enderman                         |  20 |
| Minecraft                | minecraft:endermite                        |  21 |
| Minecraft                | minecraft:evoker                           |  22 |
| Minecraft                | minecraft:evoker_fangs                     |  23 |
| Minecraft                | minecraft:experience_bottle                |  86 |
| Minecraft                | minecraft:experience_orb                   |  24 |
| Minecraft                | minecraft:eye_of_ender                     |  25 |
| Minecraft                | minecraft:falling_block                    |  26 |
| Minecraft                | minecraft:fireball                         |  39 |
| Minecraft                | minecraft:firework_rocket                  |  27 |
| Minecraft                | minecraft:fishing_bobber                   | 107 |
| Minecraft                | minecraft:fox                              |  28 |
| Minecraft                | minecraft:furnace_minecart                 |  48 |
| Minecraft                | minecraft:ghast                            |  29 |
| Minecraft                | minecraft:giant                            |  30 |
| Minecraft                | minecraft:guardian                         |  31 |
| Minecraft                | minecraft:hoglin                           |  32 |
| Minecraft                | minecraft:hopper_minecart                  |  49 |
| Minecraft                | minecraft:horse                            |  33 |
| Minecraft                | minecraft:husk                             |  34 |
| Minecraft                | minecraft:illusioner                       |  35 |
| Minecraft                | minecraft:iron_golem                       |  36 |
| Minecraft                | minecraft:item                             |  37 |
| Minecraft                | minecraft:item_frame                       |  38 |
| Minecraft                | minecraft:leash_knot                       |  40 |
| Minecraft                | minecraft:lightning_bolt                   |  41 |
| Minecraft                | minecraft:llama                            |  42 |
| Minecraft                | minecraft:llama_spit                       |  43 |
| Minecraft                | minecraft:magma_cube                       |  44 |
| Minecraft                | minecraft:minecart                         |  45 |
| Minecraft                | minecraft:mooshroom                        |  53 |
| Minecraft                | minecraft:mule                             |  52 |
| Minecraft                | minecraft:ocelot                           |  54 |
| Minecraft                | minecraft:painting                         |  55 |
| Minecraft                | minecraft:panda                            |  56 |
| Minecraft                | minecraft:parrot                           |  57 |
| Minecraft                | minecraft:phantom                          |  58 |
