+-----------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------+
| Registry name                           | Mob spawns                                                                                                                                                                                                                                                                     | Passive spawns                                |
+-----------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------+
| appliedenergistics2:charged_quartz_ore  |                                                                                                                                                                                                                                                                                |                                               |
| appliedenergistics2:meteorite           |                                                                                                                                                                                                                                                                                |                                               |
| artifacts:campsite                      |                                                                                                                                                                                                                                                                                |                                               |
| bettercaves:bettercave                  |                                                                                                                                                                                                                                                                                |                                               |
| byg:bluegiantspruce_tree                |                                                                                                                                                                                                                                                                                |                                               |
| byg:bluespruce_tree                     |                                                                                                                                                                                                                                                                                |                                               |
| byg:boreal_tree                         |                                                                                                                                                                                                                                                                                |                                               |
| byg:boreal_tree2                        |                                                                                                                                                                                                                                                                                |                                               |
| byg:brownbirch_tree                     |                                                                                                                                                                                                                                                                                |                                               |
| byg:brownoak_tree                       |                                                                                                                                                                                                                                                                                |                                               |
| byg:deciduous_tree                      |                                                                                                                                                                                                                                                                                |                                               |
| byg:giantorangespruce_tree              |                                                                                                                                                                                                                                                                                |                                               |
| byg:giantredspruce_tree                 |                                                                                                                                                                                                                                                                                |                                               |
| byg:giantyellowspruce_tree              |                                                                                                                                                                                                                                                                                |                                               |
| byg:hugecypress_tree                    |                                                                                                                                                                                                                                                                                |                                               |
| byg:jacaranda_tree                      |                                                                                                                                                                                                                                                                                |                                               |
| byg:orangebirch_tree                    |                                                                                                                                                                                                                                                                                |                                               |
| byg:orangedeciduous_tree                |                                                                                                                                                                                                                                                                                |                                               |
| byg:orangeoak_tree                      |                                                                                                                                                                                                                                                                                |                                               |
| byg:orangespruce_tree                   |                                                                                                                                                                                                                                                                                |                                               |
| byg:red_desert_temple                   |                                                                                                                                                                                                                                                                                |                                               |
| byg:redbirch_tree                       |                                                                                                                                                                                                                                                                                |                                               |
| byg:reddeciduous_tree                   |                                                                                                                                                                                                                                                                                |                                               |
| byg:redoak_tree                         |                                                                                                                                                                                                                                                                                |                                               |
| byg:redspruce_tree                      |                                                                                                                                                                                                                                                                                |                                               |
