+-------------------------------------+------------------------+--------+------------+---------+-------------+-----------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                       | Display name           | Hunger | Saturation | Is meat | Fast to eat | Tags                                    | Effects                                                                                                                                                                                                                                                                                                                                           |
+-------------------------------------+------------------------+--------+------------+---------+-------------+-----------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| artifacts:eternal_steak             | Eternal Steak          |      8 |        0.8 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| artifacts:everlasting_beef          | Everlasting Beef       |      3 |        0.3 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:blubber           | Blubber                |      1 |        2.0 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:calamari_cooked   | Cooked Calamari        |      7 |       0.65 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:calamari_raw      | Raw Calamari           |      2 |       0.25 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:crab_meat_cooked  | Cooked Crab Meat       |      5 |        1.2 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:crab_meat_raw     | Raw Crab Meat          |      2 |        1.0 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:eel_meat_cooked   | Cooked Eel Meat        |      4 |        0.7 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:eel_meat_raw      | Raw Eel Meat           |      1 |        0.0 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:fried_egg         | Fried Egg              |      5 |        1.5 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:goatcheese        | Goat Cheese            |      3 |        1.0 | false   | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:pheasantcooked    | Cooked Pheasant        |      7 |        1.2 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:pheasantraw       | Raw Pheasant           |      3 |        0.0 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:turkey_leg_cooked | Cooked Turkey Leg      |      4 |        1.2 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:turkey_leg_raw    | Raw Turkey Leg         |      2 |        0.0 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
| betteranimalsplus:venisoncooked     | Cooked Venison         |      8 |        1.2 | true    | false       |                                         |                                                                                                                                                                                                                                                                                                                                                   |
