+--------------------------+------------------------------------+---------+-----------------------------+------------+------------------------------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                         |
| Don't use the item ID for anything "proper"!!                                                                                                                                                           |
| It's provided here for completeness's sake, it's different in every world.                                                                                                                              |
+--------------------------+------------------------------------+---------+-----------------------------+------------+------------------------------------------------------------------------------------+
| Mod name                 | Registry name                      | Item ID | Display name                | Plant Type | Tags                                                                               |
+--------------------------+------------------------------------+---------+-----------------------------+------------+------------------------------------------------------------------------------------+
| Better Animals Plus      | betteranimalsplus:trillium         |    3861 | Trillium                    | Plains     |                                                                                    |
| Coffee mod               | coffeemod:coffee_seed              |     891 | Coffee seeds                | Crop       |                                                                                    |
| Explorercraft            | explorercraft:ash_sapling          |    4324 | Ash Sapling                 | Plains     | minecraft:saplings                                                                 |
| Explorercraft            | explorercraft:bamboo_log           |    4335 | Thick Bamboo                | Plains     | explorercraft:bamboo_logs, forge:rods, forge:rods/wooden, minecraft:logs           |
| Explorercraft            | explorercraft:bamboo_sapling       |    4339 | Bamboo Sapling              | Plains     | minecraft:saplings                                                                 |
| Explorercraft            | explorercraft:cattail              |    4280 | Cattails                    | Plains     |                                                                                    |
| Explorercraft            | explorercraft:cherry_sapling       |    4352 | Sakura Sapling              | Plains     | minecraft:saplings                                                                 |
| Explorercraft            | explorercraft:daffodil             |    4275 | Daffodils                   | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Explorercraft            | explorercraft:green_mushroom       |    4282 | Green Glowshroom            | Plains     | forge:mushrooms                                                                    |
| Explorercraft            | explorercraft:leek                 |    4249 | Leek                        | Crop       | forge:crops, forge:crops/leek                                                      |
| Explorercraft            | explorercraft:leek_wild            |    4276 | Wild Leeks                  | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Explorercraft            | explorercraft:lotus_flower         |    4251 | Lotus Flower                | Plains     |                                                                                    |
| Explorercraft            | explorercraft:lupine               |    4277 | Lupine                      | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Explorercraft            | explorercraft:maple_sapling        |    4367 | Maple Sapling               | Plains     | minecraft:saplings                                                                 |
| Explorercraft            | explorercraft:pink_mushroom        |    4283 | Pink Glowshroom             | Plains     | forge:mushrooms                                                                    |
| Explorercraft            | explorercraft:rice                 |    4248 | Rice                        | Plains     | forge:crops, forge:crops/rice                                                      |
| Explorercraft            | explorercraft:short_grass          |    4278 | Short Grass                 | Plains     |                                                                                    |
| Explorercraft            | explorercraft:tall_cattail         |    4281 | Tall Cattails               | Plains     |                                                                                    |
| Explorercraft            | explorercraft:willow_sapling       |    4382 | Willow Sapling              | Plains     | minecraft:saplings                                                                 |
| Extended Nether Backport | extendednether:crimson_fungus      |    8120 | Crimson Fungus              | Plains     |                                                                                    |
| Extended Nether Backport | extendednether:crimson_roots       |    8122 | Crimson Roots               | Plains     |                                                                                    |
| Extended Nether Backport | extendednether:nether_sprouts      |    8124 | Nether Sprouts              | Plains     |                                                                                    |
| Extended Nether Backport | extendednether:warped_fungus       |    8121 | Warped Fungus               | Plains     |                                                                                    |
| Extended Nether Backport | extendednether:warped_roots        |    8123 | Warped Roots                | Plains     |                                                                                    |
| Minecraft                | minecraft:acacia_sapling           |      23 | Acacia Sapling              | Plains     | minecraft:saplings                                                                 |
| Minecraft                | minecraft:allium                   |     101 | Allium                      | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Minecraft                | minecraft:azure_bluet              |     102 | Azure Bluet                 | Plains     | minecraft:flowers, minecraft:small_flowers                                         |
| Minecraft                | minecraft:beetroot_seeds           |     822 | Beetroot Seeds              | Crop       | forge:seeds, forge:seeds/beetroot, mubble:feeding/duck                             |
