+--------------------------+-------------------------------------------+---------+-----------------------+---------------------------------------+-----------------------------------------------------------------------+-------------------------------+
| *** WARNING ***                                                                                                                                                                                                                                        |
| Don't use the item ID for anything "proper"!!                                                                                                                                                                                                          |
| It's provided here for completeness's sake, it's different in every world.                                                                                                                                                                             |
+--------------------------+-------------------------------------------+---------+-----------------------+---------------------------------------+-----------------------------------------------------------------------+-------------------------------+
| Mod name                 | Registry name                             | Item ID | Display name          | Tool classes                          | Harvest levels                                                        | Tags                          |
+--------------------------+-------------------------------------------+---------+-----------------------+---------------------------------------+-----------------------------------------------------------------------+-------------------------------+
| Applied Energistics 2    | appliedenergistics2:certus_quartz_axe     |    3596 | Certus Quartz Axe     | axe                                   | axe = 2 (Iron)                                                        |                               |
| Applied Energistics 2    | appliedenergistics2:certus_quartz_pickaxe |    3599 | Certus Quartz Pickaxe | pickaxe                               | pickaxe = 2 (Iron)                                                    |                               |
| Applied Energistics 2    | appliedenergistics2:certus_quartz_shovel  |    3598 | Certus Quartz Shovel  | shovel                                | shovel = 2 (Iron)                                                     |                               |
| Applied Energistics 2    | appliedenergistics2:nether_quartz_axe     |    3603 | Nether Quartz Axe     | axe                                   | axe = 2 (Iron)                                                        |                               |
| Applied Energistics 2    | appliedenergistics2:nether_quartz_pickaxe |    3606 | Nether Quartz Pickaxe | pickaxe                               | pickaxe = 2 (Iron)                                                    |                               |
| Applied Energistics 2    | appliedenergistics2:nether_quartz_shovel  |    3605 | Nether Quartz Shovel  | shovel                                | shovel = 2 (Iron)                                                     |                               |
| Applied Energistics 2    | appliedenergistics2:network_tool          |    3618 | Network Tool          | wrench                                | wrench = 0 (Wood/Gold)                                                |                               |
| Azuredooms Doom Mod      | doomweapon:argent_axe                     |    4721 | Argent Axe            | axe                                   | axe = 6 (?)                                                           |                               |
| Azuredooms Doom Mod      | doomweapon:argent_paxel                   |    4723 | Argent Paxel          | axe, pickaxe, shovel                  | axe = 6 (?), pickaxe = 6 (?), shovel = 6 (?)                          |                               |
| Azuredooms Doom Mod      | doomweapon:argent_pickaxe                 |    4724 | Argent Pickaxe        | pickaxe                               | pickaxe = 6 (?)                                                       |                               |
| Azuredooms Doom Mod      | doomweapon:argent_shovel                  |    4725 | Argent Shovel         | shovel                                | shovel = 6 (?)                                                        |                               |
| Azuredooms Doom Mod      | doomweapon:axe_marauder_open              |    4730 | Marauder Argent Axe   | axe                                   | axe = 6 (?)                                                           |                               |
| Create                   | create:deforester                         |    3212 | Deforester            | axe                                   | axe = 4 (?)                                                           |                               |
| Dungeons Gear            | dungeons_gear:axe                         |    2831 | Axe                   | axe                                   | axe = 2 (Iron)                                                        |                               |
| Dungeons Gear            | dungeons_gear:cursed_axe                  |    2835 | Cursed Axe            | axe                                   | axe = 2 (Iron)                                                        |                               |
| Dungeons Gear            | dungeons_gear:diamond_pickaxe             |    2827 | Diamond Pickaxe       | pickaxe                               | pickaxe = 3 (Diamond)                                                 |                               |
| Dungeons Gear            | dungeons_gear:double_axe                  |    2834 | Double Axe            | axe                                   | axe = 2 (Iron)                                                        |                               |
| Dungeons Gear            | dungeons_gear:firebrand                   |    2832 | Firebrand             | axe                                   | axe = 2 (Iron)                                                        |                               |
| Dungeons Gear            | dungeons_gear:highland_axe                |    2833 | Highland Axe          | axe                                   | axe = 2 (Iron)                                                        |                               |
| Dungeons Gear            | dungeons_gear:pickaxe                     |    2826 | Pickaxe               | pickaxe                               | pickaxe = 2 (Iron)                                                    |                               |
| Dungeons Gear            | dungeons_gear:whirlwind                   |    2836 | Whirlwind             | axe                                   | axe = 2 (Iron)                                                        |                               |
| Explorercraft            | explorercraft:amethyst_axe                |    4217 | Amethyst Axe          | axe                                   | axe = 2 (Iron)                                                        |                               |
| Explorercraft            | explorercraft:amethyst_pickaxe            |    4219 | Amethyst Pickaxe      | pickaxe                               | pickaxe = 2 (Iron)                                                    |                               |
| Explorercraft            | explorercraft:amethyst_shovel             |    4220 | Amethyst Shovel       | shovel                                | shovel = 2 (Iron)                                                     |                               |
| Explorercraft            | explorercraft:jade_axe                    |    4226 | Jade Axe              | axe                                   | axe = 3 (Diamond)                                                     |                               |
| Explorercraft            | explorercraft:jade_pickaxe                |    4228 | Jade Pickaxe          | pickaxe                               | pickaxe = 3 (Diamond)                                                 |                               |
| Explorercraft            | explorercraft:jade_shovel                 |    4229 | Jade Shovel           | shovel                                | shovel = 3 (Diamond)                                                  |                               |
| Explorercraft            | explorercraft:ruby_axe                    |    4235 | Ruby Axe              | axe                                   | axe = 3 (Diamond)                                                     |                               |
| Explorercraft            | explorercraft:ruby_pickaxe                |    4237 | Ruby Pickaxe          | pickaxe                               | pickaxe = 3 (Diamond)                                                 |                               |
| Explorercraft            | explorercraft:ruby_shovel                 |    4238 | Ruby Shovel           | shovel                                | shovel = 3 (Diamond)                                                  |                               |
| Extended Nether Backport | extendednether:netherite_axe              |    8074 | Netherite Axe         | axe                                   | axe = 4 (?)                                                           | extendednether:fire_resistant |
| Extended Nether Backport | extendednether:netherite_pickaxe          |    8073 | Netherite Pickaxe     | pickaxe                               | pickaxe = 4 (?)                                                       | extendednether:fire_resistant |
| Extended Nether Backport | extendednether:netherite_shovel           |    8072 | Netherite Shovel      | shovel                                | shovel = 4 (?)                                                        | extendednether:fire_resistant |
| Future Versions          | futureversions:netheriteaxe               |    6869 | Netherite Axe         | axe                                   | axe = 3 (Diamond)                                                     |                               |
| Future Versions          | futureversions:netheritepickaxe           |    6870 | Netherite Pickaxe     | pickaxe                               | pickaxe = 3 (Diamond)                                                 |                               |
| Future Versions          | futureversions:netheriteshovel            |    6871 | Netherite Shovel      | shovel                                | shovel = 3 (Diamond)                                                  |                               |
| Mapper Base              | mapperbase:steel_axe                      |    4070 | Steel Axe             | axe                                   | axe = 3 (Diamond)                                                     |                               |
| Mapper Base              | mapperbase:steel_pickaxe                  |    4071 | Steel Pickaxe         | pickaxe                               | pickaxe = 3 (Diamond)                                                 |                               |
| Mapper Base              | mapperbase:steel_shovel                   |    4072 | Steel Shovel          | shovel                                | shovel = 3 (Diamond)                                                  |                               |
| Minecraft                | minecraft:diamond_axe                     |     544 | Diamond Axe           | axe                                   | axe = 3 (Diamond)                                                     |                               |
| Minecraft                | minecraft:diamond_pickaxe                 |     543 | Diamond Pickaxe       | pickaxe                               | pickaxe = 3 (Diamond)                                                 |                               |
| Minecraft                | minecraft:diamond_shovel                  |     542 | Diamond Shovel        | shovel                                | shovel = 3 (Diamond)                                                  |                               |
| Minecraft                | minecraft:golden_axe                      |     551 | Golden Axe            | axe                                   | axe = 0 (Wood/Gold)                                                   | extendednether:piglin_loved   |
| Minecraft                | minecraft:golden_pickaxe                  |     550 | Golden Pickaxe        | pickaxe                               | pickaxe = 0 (Wood/Gold)                                               | extendednether:piglin_loved   |
| Minecraft                | minecraft:golden_shovel                   |     549 | Golden Shovel         | shovel                                | shovel = 0 (Wood/Gold)                                                | extendednether:piglin_loved   |
| Minecraft                | minecraft:iron_axe                        |     522 | Iron Axe              | axe                                   | axe = 2 (Iron)                                                        |                               |
| Minecraft                | minecraft:iron_pickaxe                    |     521 | Iron Pickaxe          | pickaxe                               | pickaxe = 2 (Iron)                                                    |                               |
| Minecraft                | minecraft:iron_shovel                     |     520 | Iron Shovel           | shovel                                | shovel = 2 (Iron)                                                     |                               |
| Minecraft                | minecraft:stone_axe                       |     540 | Stone Axe             | axe                                   | axe = 1 (Stone)                                                       |                               |
| Minecraft                | minecraft:stone_pickaxe                   |     539 | Stone Pickaxe         | pickaxe                               | pickaxe = 1 (Stone)                                                   |                               |
| Minecraft                | minecraft:stone_shovel                    |     538 | Stone Shovel          | shovel                                | shovel = 1 (Stone)                                                    |                               |
| Minecraft                | minecraft:wooden_axe                      |     536 | Wooden Axe            | axe                                   | axe = 0 (Wood/Gold)                                                   |                               |
| Minecraft                | minecraft:wooden_pickaxe                  |     535 | Wooden Pickaxe        | pickaxe                               | pickaxe = 0 (Wood/Gold)                                               |                               |
| Minecraft                | minecraft:wooden_shovel                   |     534 | Wooden Shovel         | shovel                                | shovel = 0 (Wood/Gold)                                                |                               |
| Mubble                   | mubble:bismuth_axe                        |    7963 | Bismuth Axe           | axe                                   | axe = 4 (?)                                                           |                               |
| Mubble                   | mubble:bismuth_pickaxe                    |    7962 | Bismuth Pickaxe       | pickaxe                               | pickaxe = 4 (?)                                                       |                               |
| Mubble                   | mubble:bismuth_shovel                     |    7961 | Bismuth Shovel        | shovel                                | shovel = 4 (?)                                                        |                               |
| Oh The Biomes You'll Go  | byg:pendorite_axe                         |    6128 | Pendorite Axe         | axe                                   | axe = 4 (?)                                                           |                               |
| Oh The Biomes You'll Go  | byg:pendorite_battleaxe                   |    6131 | Pendorite Battleaxe   | axe                                   | axe = 4 (?)                                                           |                               |
| Oh The Biomes You'll Go  | byg:pendorite_pickaxe                     |    6129 | Pendorite Pickaxe     | pickaxe                               | pickaxe = 4 (?)                                                       |                               |
| Oh The Biomes You'll Go  | byg:pendorite_shovel                      |    6132 | Pendorite Shovel      | shovel                                | shovel = 4 (?)                                                        |                               |
| ProjectE                 | projecte:dm_axe                           |     946 | Dark Matter Axe       | axe                                   | axe = 4 (?)                                                           |                               |
| ProjectE                 | projecte:dm_hammer                        |     951 | Dark Matter Hammer    | hammer, pickaxe                       | hammer = 4 (?), pickaxe = 4 (?)                                       |                               |
| ProjectE                 | projecte:dm_hoe                           |     949 | Dark Matter Hoe       | hoe                                   | hoe = 4 (?)                                                           |                               |
| ProjectE                 | projecte:dm_pick                          |     945 | Dark Matter Pickaxe   | pickaxe                               | pickaxe = 4 (?)                                                       |                               |
| ProjectE                 | projecte:dm_shears                        |     950 | Dark Matter Shears    | shears                                | shears = 4 (?)                                                        |                               |
| ProjectE                 | projecte:dm_shovel                        |     947 | Dark Matter Shovel    | shovel                                | shovel = 4 (?)                                                        |                               |
| ProjectE                 | projecte:rm_axe                           |     953 | Red Matter Axe        | axe                                   | axe = 5 (?)                                                           |                               |
| ProjectE                 | projecte:rm_hammer                        |     958 | Red Matter Hammer     | hammer, pickaxe                       | hammer = 5 (?), pickaxe = 5 (?)                                       |                               |
| ProjectE                 | projecte:rm_hoe                           |     956 | Red Matter Hoe        | hoe                                   | hoe = 5 (?)                                                           |                               |
