+------------------------------------+-------+--------+
| Registry name                      | Width | Height |
+------------------------------------+-------+--------+
| minecraft:alban                    | 16    | 16     |
| minecraft:aztec                    | 16    | 16     |
| minecraft:aztec2                   | 16    | 16     |
| minecraft:bomb                     | 16    | 16     |
| minecraft:burning_skull            | 64    | 64     |
| minecraft:bust                     | 32    | 32     |
| minecraft:courbet                  | 32    | 16     |
| minecraft:creebet                  | 32    | 16     |
| minecraft:donkey_kong              | 64    | 48     |
| minecraft:fighters                 | 64    | 32     |
| minecraft:graham                   | 16    | 32     |
| minecraft:kebab                    | 16    | 16     |
| minecraft:match                    | 32    | 32     |
| minecraft:pigscene                 | 64    | 64     |
| minecraft:plant                    | 16    | 16     |
| minecraft:pointer                  | 64    | 64     |
| minecraft:pool                     | 32    | 16     |
| minecraft:sea                      | 32    | 16     |
| minecraft:skeleton                 | 64    | 48     |
| minecraft:skull_and_roses          | 32    | 32     |
| minecraft:stage                    | 32    | 32     |
| minecraft:sunset                   | 32    | 16     |
| minecraft:void                     | 32    | 32     |
| minecraft:wanderer                 | 16    | 32     |
| minecraft:wasteland                | 16    | 16     |
| minecraft:wither                   | 32    | 32     |
| mubble:bob_omb_battlefield         | 48    | 48     |
| mubble:cool_cool_mountain          | 48    | 48     |
| mubble:dire_dire_docks             | 48    | 48     |
| mubble:jolly_roger_bay             | 48    | 48     |
| mubble:lethal_lava_land            | 48    | 48     |
| mubble:ssbu_roster                 | 384   | 64     |
| mubble:tall_tall_mountain          | 48    | 48     |
| mubble:the_great_wave_off_kanagawa | 64    | 64     |
| mubble:the_scream                  | 16    | 32     |
| mubble:the_starry_night            | 64    | 48     |
| mubble:tiny_huge_island            | 48    | 48     |
| mubble:wet_dry_world               | 48    | 48     |
| mubble:whomp_fortress              | 48    | 48     |
| tombstone:crow                     | 64    | 64     |
+------------------------------------+-------+--------+
| Registry name                      | Width | Height |
+------------------------------------+-------+--------+
