+--------------------------------+----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                  | ID | Effects                                                                                                                                                                                                                                                                                                        |
+--------------------------------+----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| bountifulbaubles:flight        | 50 | PotionEffect:{Potion:[reg:bountifulbaubles:flight,name:effect.bountifulbaubles.flight,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                |
| charm:coffee_potion            | 60 | PotionEffect:{Potion:[reg:charm:coffee_effect,name:effect.charm.coffee_effect,isBad:false,isBeneficial:true],amplifier:0,duration:400,isAmbient:false}                                                                                                                                                         |
| charm:decay_potion             | 59 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.minecraft.wither,isBad:true,isBeneficial:false],amplifier:0,duration:200,isAmbient:false}                                                                                                                                                               |
| dungeons_gear:oakwood_brew     | 49 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.minecraft.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:300,isAmbient:false}                                                                                                                                                       |
| dungeons_gear:shadow_brew      | 48 | PotionEffect:{Potion:[reg:minecraft:invisibility,name:effect.minecraft.invisibility,isBad:false,isBeneficial:true],amplifier:0,duration:200,isAmbient:false}                                                                                                                                                   |
| dungeons_gear:short_speed      | 47 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.minecraft.speed,isBad:false,isBeneficial:true],amplifier:0,duration:400,isAmbient:false}                                                                                                                                                                 |
| dungeons_gear:short_strength   | 46 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.minecraft.strength,isBad:false,isBeneficial:true],amplifier:0,duration:600,isAmbient:false}                                                                                                                                                           |
| minecraft:awkward              |  4 |                                                                                                                                                                                                                                                                                                                |
| minecraft:empty                |  0 |                                                                                                                                                                                                                                                                                                                |
| minecraft:fire_resistance      | 12 | PotionEffect:{Potion:[reg:minecraft:fire_resistance,name:effect.minecraft.fire_resistance,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                            |
| minecraft:harming              | 27 | PotionEffect:{Potion:[reg:minecraft:instant_damage,name:effect.minecraft.instant_damage,isBad:true,isBeneficial:false],amplifier:0,duration:1,isAmbient:false}                                                                                                                                                 |
| minecraft:healing              | 25 | PotionEffect:{Potion:[reg:minecraft:instant_health,name:effect.minecraft.instant_health,isBad:false,isBeneficial:true],amplifier:0,duration:1,isAmbient:false}                                                                                                                                                 |
| minecraft:invisibility         |  7 | PotionEffect:{Potion:[reg:minecraft:invisibility,name:effect.minecraft.invisibility,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isAmbient:false}                                                                                                                                                  |
