+---------------------------------------------------------+------+
| Registry name                                           |   ID |
+---------------------------------------------------------+------+
| artifacts:mimic.close                                   |  923 |
| artifacts:mimic.death                                   |  926 |
| artifacts:mimic.hurt                                    |  925 |
| artifacts:mimic.open                                    |  924 |
| betteranimalsplus:entity_goose_ambient                  |  931 |
| betteranimalsplus:entity_goose_death                    |  930 |
| betteranimalsplus:entity_goose_hurt                     |  927 |
| betteranimalsplus:record_crabrave                       |  929 |
| betteranimalsplus:record_walrus                         |  928 |
| cfm:block.bedside_cabinet.close                         |  889 |
| cfm:block.bedside_cabinet.open                          |  888 |
| cfm:block.blinds.close                                  |  891 |
| cfm:block.blinds.open                                   |  890 |
| cfm:block.cabinet.close                                 |  887 |
| cfm:block.cabinet.open                                  |  886 |
| cfm:block.diving_board.bounce                           |  895 |
| cfm:block.grill.flip                                    |  894 |
| cfm:block.grill.place                                   |  893 |
| cfm:block.trampoline.bounce                             |  892 |
| charm:bookshelf_close                                   | 1035 |
| charm:bookshelf_open                                    | 1034 |
| charm:fumarole_bubbling                                 | 1038 |
| charm:fumarole_erupt                                    | 1039 |
| charm:homing                                            | 1036 |
| charm:wood_smash                                        | 1037 |
| coffeemod:block.coffee_machine.working                  |  810 |
| create:block_funnel_eat                                 |  922 |
| create:blockzapper_confirm                              |  920 |
| create:blockzapper_deny                                 |  921 |
| create:blockzapper_place                                |  919 |
| create:creeperclock                                     |  912 |
| create:mechanical_press_activation                      |  917 |
| create:mechanical_press_item_break                      |  918 |
| create:pigclock                                         |  913 |
| create:schematicannon_finish                            |  915 |
| create:schematicannon_launch_block                      |  914 |
| create:slime_added                                      |  916 |
| doomweapon:doom.arachnotron_death                       |  979 |
| doomweapon:doom.arachnotron_hurt                        |  980 |
| doomweapon:doom.arachnotron_idle                        |  978 |
| doomweapon:doom.arch_vile_death                         |  952 |
| doomweapon:doom.arch_vile_hit                           |  953 |
| doomweapon:doom.arch_vile_idle                          |  954 |
| doomweapon:doom.arch_vile_portal                        |  955 |
| doomweapon:doom.arch_vile_scream                        |  956 |
| doomweapon:doom.arch_vile_stare                         |  957 |
| doomweapon:doom.baron_angry                             |  958 |
| doomweapon:doom.baron_death                             |  959 |
| doomweapon:doom.baron_hurt                              |  960 |
| doomweapon:doom.baron_say                               |  961 |
| doomweapon:doom.bfg_firing                              |  934 |
| doomweapon:doom.bfg_hit                                 |  935 |
| doomweapon:doom.cacodemon-charge                        |  972 |
| doomweapon:doom.cacodemon-fireball                      |  973 |
| doomweapon:doom.cacodemon-scream                        |  974 |
| doomweapon:doom.cacodemon_affectionate_scream           |  971 |
| doomweapon:doom.cacodemon_death                         |  969 |
| doomweapon:doom.cacodemon_hit                           |  970 |
| doomweapon:doom.cacodemon_moan                          |  968 |
| doomweapon:doom.chaingun_fire                           |  941 |
| doomweapon:doom.cyberdemon_death                        |  985 |
| doomweapon:doom.cyberdemon_hit                          |  986 |
| doomweapon:doom.cyberdemon_throw                        |  984 |
| doomweapon:doom.cyberdemon_walk                         |  987 |
| doomweapon:doom.e1m1                                    |  947 |
| doomweapon:doom.hellknight_death                        |  997 |
| doomweapon:doom.hellknight_hurt                         |  998 |
| doomweapon:doom.hellknight_say                          |  996 |
| doomweapon:doom.icon_ambient                            | 1002 |
| doomweapon:doom.icon_death                              | 1003 |
| doomweapon:doom.icon_hurt                               | 1004 |
| doomweapon:doom.imp_ambient                             |  948 |
| doomweapon:doom.imp_death                               |  949 |
| doomweapon:doom.imp_hurt                                |  950 |
| doomweapon:doom.imp_step                                |  951 |
| doomweapon:doom.loading_end                             |  945 |
| doomweapon:doom.lost_soul_death                         |  966 |
| doomweapon:doom.lost_soul_say                           |  967 |
| doomweapon:doom.mancubus_death                          |  989 |
| doomweapon:doom.mancubus_hit                            |  990 |
| doomweapon:doom.mancubus_say                            |  988 |
| doomweapon:doom.mancubus_walk                           |  991 |
| doomweapon:doom.pain_death                              | 1000 |
| doomweapon:doom.pain_hurt                               | 1001 |
| doomweapon:doom.pain_say                                |  999 |
| doomweapon:doom.pinky_death                             |  963 |
| doomweapon:doom.pinky_hurt                              |  964 |
| doomweapon:doom.pinky_idle                              |  962 |
| doomweapon:doom.pinky_step                              |  965 |
| doomweapon:doom.pistol_fire                             |  942 |
| doomweapon:doom.plasmafire                              |  936 |
| doomweapon:doom.plasmahit                               |  937 |
| doomweapon:doom.quick1_1                                |  946 |
| doomweapon:doom.revenant_attack                         |  995 |
| doomweapon:doom.revenant_death                          |  993 |
| doomweapon:doom.revenant_hurt                           |  994 |
| doomweapon:doom.revenant_say                            |  992 |
| doomweapon:doom.rocketfire                              |  938 |
| doomweapon:doom.rockethit                               |  939 |
| doomweapon:doom.shoot1                                  |  940 |
| doomweapon:doom.shotgun_fire                            |  943 |
| doomweapon:doom.spiderdemon_death                       |  976 |
| doomweapon:doom.spiderdemon_say                         |  977 |
| doomweapon:doom.spiderdemon_step                        |  975 |
| doomweapon:doom.unmakyr_fire                            |  944 |
| doomweapon:doom.zombieman_death                         |  982 |
| doomweapon:doom.zombieman_hurt                          |  983 |
| doomweapon:doom.zombieman_idle                          |  981 |
| extendednether:ambient.nether.basalt_deltas.additions   | 1148 |
| extendednether:ambient.nether.basalt_deltas.loop        | 1147 |
| extendednether:ambient.nether.basalt_deltas.mood        | 1149 |
| extendednether:ambient.nether.crimson_forest.additions  | 1151 |
| extendednether:ambient.nether.crimson_forest.loop       | 1150 |
| extendednether:ambient.nether.crimson_forest.mood       | 1152 |
| extendednether:ambient.nether.nether_wastes.additions   | 1154 |
| extendednether:ambient.nether.nether_wastes.loop        | 1153 |
| extendednether:ambient.nether.nether_wastes.mood        | 1155 |
| extendednether:ambient.nether.soulsand_valley.additions | 1157 |
| extendednether:ambient.nether.soulsand_valley.loop      | 1156 |
| extendednether:ambient.nether.soulsand_valley.mood      | 1158 |
| extendednether:ambient.nether.warped_forest.additions   | 1160 |
