+----------------------------------------------------+--------------------------------------------------------+
| ID                                                 | Tagged objects                                         |
+----------------------------------------------------+--------------------------------------------------------+
| appliedenergistics2:blacklisted/annihilation_plane | minecraft:bedrock                                      |
| appliedenergistics2:blacklisted/annihilation_plane | minecraft:command_block                                |
| appliedenergistics2:blacklisted/annihilation_plane | minecraft:end_portal                                   |
| appliedenergistics2:blacklisted/annihilation_plane | minecraft:end_portal_frame                             |
| appliedenergistics2:whitelisted/facades            | appliedenergistics2:quartz_glass                       |
| appliedenergistics2:whitelisted/facades            | appliedenergistics2:quartz_vibrant_glass               |
| appliedenergistics2:whitelisted/facades            | minecraft:black_stained_glass                          |
| appliedenergistics2:whitelisted/facades            | minecraft:blue_stained_glass                           |
| appliedenergistics2:whitelisted/facades            | minecraft:brown_stained_glass                          |
| appliedenergistics2:whitelisted/facades            | minecraft:cyan_stained_glass                           |
| appliedenergistics2:whitelisted/facades            | minecraft:glass                                        |
| appliedenergistics2:whitelisted/facades            | minecraft:gray_stained_glass                           |
| appliedenergistics2:whitelisted/facades            | minecraft:green_stained_glass                          |
| appliedenergistics2:whitelisted/facades            | minecraft:light_blue_stained_glass                     |
| appliedenergistics2:whitelisted/facades            | minecraft:light_gray_stained_glass                     |
| appliedenergistics2:whitelisted/facades            | minecraft:lime_stained_glass                           |
| appliedenergistics2:whitelisted/facades            | minecraft:magenta_stained_glass                        |
| appliedenergistics2:whitelisted/facades            | minecraft:orange_stained_glass                         |
| appliedenergistics2:whitelisted/facades            | minecraft:pink_stained_glass                           |
| appliedenergistics2:whitelisted/facades            | minecraft:purple_stained_glass                         |
| appliedenergistics2:whitelisted/facades            | minecraft:red_stained_glass                            |
| appliedenergistics2:whitelisted/facades            | minecraft:white_stained_glass                          |
| appliedenergistics2:whitelisted/facades            | minecraft:yellow_stained_glass                         |
| betteranimalsplus:butterfly_growables              | minecraft:beetroots                                    |
| betteranimalsplus:butterfly_growables              | minecraft:carrots                                      |
| betteranimalsplus:butterfly_growables              | minecraft:melon_stem                                   |
| betteranimalsplus:butterfly_growables              | minecraft:potatoes                                     |
| betteranimalsplus:butterfly_growables              | minecraft:pumpkin_stem                                 |
| betteranimalsplus:butterfly_growables              | minecraft:sweet_berry_bush                             |
| betteranimalsplus:butterfly_growables              | minecraft:wheat                                        |
| betteranimalsplus:crops                            | minecraft:beetroots                                    |
| betteranimalsplus:crops                            | minecraft:carrots                                      |
| betteranimalsplus:crops                            | minecraft:melon_stem                                   |
| betteranimalsplus:crops                            | minecraft:potatoes                                     |
| betteranimalsplus:crops                            | minecraft:pumpkin_stem                                 |
| betteranimalsplus:crops                            | minecraft:wheat                                        |
| betteranimalsplus:flowers                          | byg:allium_flower_bush                                 |
| betteranimalsplus:flowers                          | byg:alpine_bellflower                                  |
| betteranimalsplus:flowers                          | byg:amaranth                                           |
| betteranimalsplus:flowers                          | byg:angelica                                           |
| betteranimalsplus:flowers                          | byg:azalea                                             |
| betteranimalsplus:flowers                          | byg:begonia                                            |
| betteranimalsplus:flowers                          | byg:bistort                                            |
| betteranimalsplus:flowers                          | byg:black_rose                                         |
| betteranimalsplus:flowers                          | byg:blue_sage                                          |
| betteranimalsplus:flowers                          | byg:california_poppy                                   |
| betteranimalsplus:flowers                          | byg:crocus                                             |
| betteranimalsplus:flowers                          | byg:cyan_amaranth                                      |
| betteranimalsplus:flowers                          | byg:cyan_rose                                          |
| betteranimalsplus:flowers                          | byg:cyan_tulip                                         |
| betteranimalsplus:flowers                          | byg:daffodil                                           |
| betteranimalsplus:flowers                          | byg:delphinium                                         |
| betteranimalsplus:flowers                          | byg:fairy_slipper                                      |
| betteranimalsplus:flowers                          | byg:firecracker_flower_bush                            |
| betteranimalsplus:flowers                          | byg:foxglove                                           |
| betteranimalsplus:flowers                          | byg:golden_spined_cactus                               |
| betteranimalsplus:flowers                          | byg:green_tulip                                        |
| betteranimalsplus:flowers                          | byg:guzmania                                           |
| betteranimalsplus:flowers                          | byg:incan_lily                                         |
| betteranimalsplus:flowers                          | byg:iris                                               |
| betteranimalsplus:flowers                          | byg:japanese_orchid                                    |
| betteranimalsplus:flowers                          | byg:kovan_flower                                       |
| betteranimalsplus:flowers                          | byg:lazarus_bellflower                                 |
| betteranimalsplus:flowers                          | byg:lolipop_flower                                     |
| betteranimalsplus:flowers                          | byg:magenta_amaranth                                   |
| betteranimalsplus:flowers                          | byg:magenta_tulip                                      |
| betteranimalsplus:flowers                          | byg:orange_amaranth                                    |
| betteranimalsplus:flowers                          | byg:orange_daisy                                       |
| betteranimalsplus:flowers                          | byg:osiria_rose                                        |
| betteranimalsplus:flowers                          | byg:peach_leather_flower                               |
| betteranimalsplus:flowers                          | byg:pink_allium                                        |
| betteranimalsplus:flowers                          | byg:pink_allium_flower_bush                            |
