+--------------------------------------------+---------------------------------------------------------+
| ID                                         | Tagged objects                                          |
+--------------------------------------------+---------------------------------------------------------+
| appliedenergistics2:covered_cable          | appliedenergistics2:black_covered_cable                 |
| appliedenergistics2:covered_cable          | appliedenergistics2:blue_covered_cable                  |
| appliedenergistics2:covered_cable          | appliedenergistics2:brown_covered_cable                 |
| appliedenergistics2:covered_cable          | appliedenergistics2:cyan_covered_cable                  |
| appliedenergistics2:covered_cable          | appliedenergistics2:fluix_covered_cable                 |
| appliedenergistics2:covered_cable          | appliedenergistics2:gray_covered_cable                  |
| appliedenergistics2:covered_cable          | appliedenergistics2:green_covered_cable                 |
| appliedenergistics2:covered_cable          | appliedenergistics2:light_blue_covered_cable            |
| appliedenergistics2:covered_cable          | appliedenergistics2:light_gray_covered_cable            |
| appliedenergistics2:covered_cable          | appliedenergistics2:lime_covered_cable                  |
| appliedenergistics2:covered_cable          | appliedenergistics2:magenta_covered_cable               |
| appliedenergistics2:covered_cable          | appliedenergistics2:orange_covered_cable                |
| appliedenergistics2:covered_cable          | appliedenergistics2:pink_covered_cable                  |
| appliedenergistics2:covered_cable          | appliedenergistics2:purple_covered_cable                |
| appliedenergistics2:covered_cable          | appliedenergistics2:red_covered_cable                   |
| appliedenergistics2:covered_cable          | appliedenergistics2:white_covered_cable                 |
| appliedenergistics2:covered_cable          | appliedenergistics2:yellow_covered_cable                |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:black_covered_dense_cable           |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:blue_covered_dense_cable            |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:brown_covered_dense_cable           |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:cyan_covered_dense_cable            |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:fluix_covered_dense_cable           |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:gray_covered_dense_cable            |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:green_covered_dense_cable           |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:light_blue_covered_dense_cable      |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:light_gray_covered_dense_cable      |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:lime_covered_dense_cable            |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:magenta_covered_dense_cable         |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:orange_covered_dense_cable          |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:pink_covered_dense_cable            |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:purple_covered_dense_cable          |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:red_covered_dense_cable             |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:white_covered_dense_cable           |
| appliedenergistics2:covered_dense_cable    | appliedenergistics2:yellow_covered_dense_cable          |
| appliedenergistics2:crystals/certus        | appliedenergistics2:certus_quartz_crystal               |
| appliedenergistics2:crystals/certus        | appliedenergistics2:charged_certus_quartz_crystal       |
| appliedenergistics2:crystals/certus        | appliedenergistics2:purified_certus_quartz_crystal      |
